Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"1,351,693","224,607","1,576,301"
2002,11,"1,243,428","294,520","1,537,948"
2002,12,"1,339,857","304,832","1,644,689"
2002,TOTAL,"16,412,337","2,933,267","19,345,604"
2003,1,"1,317,669","294,826","1,612,494"
2003,2,"1,185,825","273,817","1,459,643"
2003,3,"1,351,122","306,568","1,657,689"
2003,4,"1,357,907","285,453","1,643,360"
2003,5,"1,495,658","228,999","1,724,657"
2003,6,"1,644,544","221,735","1,866,279"
2003,7,"1,770,009","239,876","2,009,885"
2003,8,"1,755,604","242,786","1,998,390"
2003,9,"1,500,287","211,273","1,711,560"
2003,10,"1,496,292","233,072","1,729,364"
2003,11,"1,394,690","298,792","1,693,482"
2003,12,"1,479,187","312,114","1,791,301"
2003,TOTAL,"17,748,792","3,149,311","20,898,103"
2004,1,"1,364,530","306,047","1,670,577"
2004,2,"1,369,645","288,111","1,657,757"
2004,3,"1,533,454","308,945","1,842,399"
2004,4,"1,498,949","285,499","1,784,448"
2004,5,"1,632,439","232,106","1,864,546"
2004,6,"1,756,423","225,191","1,981,614"
2004,7,"1,865,296","235,309","2,100,605"
2004,8,"1,854,688","234,535","2,089,223"
2004,9,"1,608,373","207,721","1,816,093"
2004,10,"1,587,773","211,179","1,798,953"
2004,11,"1,485,611","304,393","1,790,004"
2004,12,"1,544,314","314,186","1,858,500"
2004,TOTAL,"19,101,496","3,153,223","22,254,719"
2005,1,"1,502,753","310,582","1,813,334"
2005,2,"1,388,980","286,259","1,675,239"
2005,3,"1,553,329","325,876","1,879,204"
2005,4,"1,495,429","315,643","1,811,072"
2005,5,"1,555,073","249,514","1,804,586"
2005,6,"1,688,237","235,235","1,923,472"
2005,7,"1,738,634","245,269","1,983,903"
2005,8,"1,743,556","259,836","2,003,393"
2005,9,"1,598,036","231,562","1,829,599"
2005,10,"1,606,928","233,483","1,840,411"
2005,11,"1,498,064","316,878","1,814,941"
2005,12,"1,559,828","336,741","1,896,570"
2005,TOTAL,"18,928,847","3,346,877","22,275,724"
2006,1,"1,531,160","346,045","1,877,205"
2006,2,"1,398,584","311,556","1,710,140"
2006,3,"1,593,802","355,601","1,949,402"
2006,4,"1,547,705","341,473","1,889,177"
2006,5,"1,677,858","252,366","1,930,223"
2006,6,"1,774,704","237,672","2,012,376"
2006,7,"1,859,552","251,553","2,111,106"
2006,8,"1,870,952","254,800","2,125,752"
2006,9,"1,671,371","233,686","1,905,057"
2006,10,"1,655,579","261,424","1,917,003"
2006,11,"1,512,645","365,244","1,877,889"
2006,12,"1,574,736","381,040","1,955,776"
2006,TOTAL,"19,668,647","3,592,459","23,261,107"
2007,1,"1,554,778","374,409","1,929,187"
2007,2,"1,425,027","342,893","1,767,920"
2007,3,"1,608,476","385,606","1,994,082"
2007,4,"1,601,483","367,378","1,968,861"
2007,5,"1,784,638","265,399","2,050,037"
2007,6,"1,869,017","248,718","2,117,735"
2007,7,"1,934,333","256,432","2,190,765"
2007,8,"1,916,375","256,478","2,172,854"
2007,9,"1,749,398","236,903","1,986,301"
2007,10,"1,734,074","261,967","1,996,041"
2007,11,"1,607,424","354,437","1,961,861"
2007,12,"1,689,845","370,016","2,059,861"
2007,TOTAL,"20,474,868","3,720,637","24,195,506"
2008,1,"1,680,095","367,501","2,047,596"
2008,2,"1,589,392","343,199","1,932,591"
2008,3,"1,728,567","369,129","2,097,696"
2008,4,"1,692,333","341,936","2,034,270"
2008,5,"1,835,235","241,360","2,076,595"
2008,6,"1,907,917","215,335","2,123,253"
2008,7,"2,031,343","211,149","2,242,492"
2008,8,"1,967,467","202,298","2,169,765"
2008,9,"1,718,825","164,762","1,883,587"
2008,10,"1,736,486","177,646","1,914,132"
2008,11,"1,578,398","248,725","1,827,123"
2008,12,"1,565,025","267,926","1,832,951"
2008,TOTAL,"21,031,085","3,150,965","24,182,050"
2009,1,"1,596,392","270,861","1,867,253"
2009,2,"1,479,875","243,161","1,723,036"
2009,3,"1,635,883","269,624","1,905,507"
2009,4,"1,600,995","260,838","1,861,833"
2009,5,"1,760,038","183,448","1,943,486"
2009,6,"1,861,946","169,594","2,031,540"
2009,7,"1,983,765","134,021","2,117,786"
2009,8,"1,977,418","128,842","2,106,259"
2009,9,"1,743,430","113,970","1,857,400"
2009,10,"1,765,558","122,549","1,888,107"
2009,11,"1,621,791","223,796","1,845,587"
2009,12,"1,660,204","266,110","1,926,314"
2009,TOTAL,"20,687,295","2,386,814","23,074,109"
2010,1,"1,635,075","254,142","1,889,217"
2010,2,"1,468,673","216,190","1,684,863"
2010,3,"1,712,942","236,876","1,949,819"
2010,4,"1,673,863","234,946","1,908,809"
2010,5,"1,847,871","183,599","2,031,470"
2010,6,"2,014,396","143,154","2,157,550"
2010,7,"2,125,380","141,506","2,266,886"
2010,8,"2,114,715","140,845","2,255,560"
2010,9,"1,864,755","135,986","2,000,741"
2010,10,"1,904,168","157,272","2,061,440"
2010,11,"1,817,432","211,491","2,028,923"
2010,12,"1,886,451","247,441","2,133,892"
2010,TOTAL,"22,065,721","2,303,448","24,369,170"
2011,1,"1,871,075","255,984","2,127,059"
2011,2,"1,719,940","247,590","1,967,530"
2011,3,"1,971,951","274,817","2,246,768"
2011,4,"1,932,680","265,708","2,198,388"
2011,5,"1,981,667","201,833","2,183,500"
2011,6,"2,132,425","181,729","2,314,154"
2011,7,"2,204,353","192,531","2,396,883"
2011,8,"2,193,126","190,069","2,383,195"
2011,9,"1,967,684","181,517","2,149,200"
2011,10,"1,980,578","189,582","2,170,159"
2011,11,"1,889,756","238,617","2,128,373"
2011,12,"1,958,881","258,028","2,216,909"
2011,TOTAL,"23,804,115","2,678,004","26,482,118"
2012,1,"1,909,650","256,967","2,166,618"
2012,2,"1,837,114","242,981","2,080,095"
2012,3,"2,043,057","270,600","2,313,656"
2012,4,"2,017,431","250,779","2,268,210"
2012,5,"2,172,447","195,057","2,367,504"
2012,6,"2,307,747","178,427","2,486,175"
2012,7,"2,415,462","181,763","2,597,225"
2012,8,"2,381,048","177,733","2,558,781"
2012,9,"2,093,965","164,232","2,258,197"
2012,10,"2,092,208","187,562","2,279,770"
2012,11,"2,117,331","210,700","2,328,031"
2012,12,"2,191,646","244,050","2,435,697"
2012,TOTAL,"25,579,106","2,560,852","28,139,958"
2013,1,"2,187,479","243,888","2,431,368"
2013,2,"1,973,322","221,222","2,194,544"
2013,3,"2,309,938","256,760","2,566,697"
2013,4,"2,254,218","239,625","2,493,842"
2013,5,"2,337,486","200,184","2,537,670"
2013,6,"2,500,273","198,919","2,699,192"
2013,7,"2,624,464","208,323","2,832,787"
2013,8,"2,590,204","202,171","2,792,376"
2013,9,"2,217,972","169,199","2,387,170"
2013,10,"2,211,436","180,815","2,392,251"
2013,11,"2,241,623","243,335","2,484,958"
2013,12,"2,293,100","253,236","2,546,335"
2013,TOTAL,"27,741,514","2,617,676","30,359,190"
2014,1,"2,254,034","257,333","2,511,368"
2014,2,"2,053,622","233,726","2,287,348"
2014,3,"2,427,254","258,784","2,686,038"
2014,4,"2,352,219","247,897","2,600,116"
2014,5,"2,450,477","204,047","2,654,524"
2014,6,"2,617,607","208,540","2,826,147"
2014,7,"2,789,097","217,452","3,006,549"
2014,8,"2,771,366","205,991","2,977,357"
2014,9,"2,477,818","132,892","2,610,710"
2014,10,"2,501,602","140,240","2,641,842"
2014,11,"2,471,014","235,965","2,706,979"
2014,12,"2,589,327","280,911","2,870,238"
2014,TOTAL,"29,755,439","2,623,777","32,379,216"
2015,1,"2,517,288","267,777","2,785,065"
2015,2,"2,279,683","231,042","2,510,725"
2015,3,"2,765,232","275,090","3,040,322"
2015,4,"2,712,327","242,215","2,954,542"
2015,5,"2,818,124","159,794","2,977,918"
2015,6,"2,881,639","152,541","3,034,181"
2015,7,"3,044,264","153,521","3,197,785"
2015,8,"3,045,733","146,509","3,192,242"
2015,9,"2,746,680","127,238","2,873,918"
2015,10,"2,823,116","164,621","2,987,738"
2015,11,"2,822,235","259,764","3,081,998"
2015,12,"2,922,713","292,255","3,214,969"
2015,TOTAL,"33,379,035","2,472,369","35,851,404"
2016,1,"2,822,595","298,566","3,121,162"
2016,2,"2,672,173","271,077","2,943,250"
2016,3,"2,978,842","293,784","3,272,626"
2016,4,"2,956,827","263,516","3,220,344"
2016,5,"3,090,727","187,630","3,278,357"
2016,6,"3,167,803","187,107","3,354,910"
2016,7,"3,296,584","197,559","3,494,143"
2016,8,"3,319,673","188,146","3,507,819"
2016,9,"2,796,189","170,503","2,966,692"
2016,10,"2,837,525","210,139","3,047,664"
2016,11,"2,873,148","258,688","3,131,836"
2016,12,"3,000,939","295,733","3,296,672"
2016,TOTAL,"35,813,027","2,822,448","38,635,474"
2017,1,"3,008,207","314,637","3,322,843"
2017,2,"2,674,635","290,123","2,964,758"
2017,3,"3,173,782","326,951","3,500,733"
2017,4,"3,126,603","291,915","3,418,518"
2017,5,"3,284,968","214,989","3,499,957"
2017,6,"3,380,367","224,264","3,604,631"
2017,7,"3,507,928","233,972","3,741,900"
2017,8,"3,479,218","245,604","3,724,822"
2017,9,"3,066,178","225,382","3,291,561"
2017,10,"3,109,915","262,302","3,372,217"
2017,11,"3,077,292","298,929","3,376,221"
2017,12,"3,233,864","340,484","3,574,347"
2017,TOTAL,"38,122,956","3,269,552","41,392,508"
2018,1,"3,158,969","325,370","3,484,339"
2018,2,"2,878,410","278,252","3,156,662"
2018,3,"3,315,049","310,718","3,625,768"
2018,4,"4,648,708","301,533","4,950,242"
2018,5,"4,885,093","241,246","5,126,339"
2018,6,"4,947,430","245,620","5,193,050"
2018,7,"5,164,882","250,934","5,415,817"
2018,8,"5,007,579","231,248","5,238,827"
2018,9,"4,486,067","182,629","4,668,696"
2018,10,"4,598,060","215,417","4,813,477"
2018,11,"4,446,837","299,386","4,746,223"
2018,12,"4,566,139","315,602","4,881,741"
2018,TOTAL,"52,103,223","3,197,956","55,301,179"
2019,1,"4,404,255","304,247","4,708,503"
2019,2,"3,898,423","280,084","4,178,507"
2019,3,"4,657,431","312,451","4,969,881"
2019,4,"4,595,528","291,781","4,887,310"
2019,5,"4,922,177","189,994","5,112,171"
2019,6,"5,027,965","199,606","5,227,570"
2019,7,"5,290,615","204,778","5,495,393"
2019,8,"5,224,953","185,305","5,410,258"
2019,9,"4,631,359","142,415","4,773,775"
2019,10,"4,736,404","182,498","4,918,902"
2019,11,"4,534,009","293,587","4,827,596"
2019,12,"4,787,406","326,762","5,114,168"
2019,TOTAL,"56,710,525","2,913,509","59,624,034"
2020,1,"4,515,632","315,483","4,831,116"
2020,2,"4,178,990","309,015","4,488,005"
2020,3,"4,029,389","311,737","4,341,127"
2020,4,"925,673","46,147","971,820"
2020,5,"890,789","27,016","917,805"
2020,6,"1,384,332","49,690","1,434,021"
2020,7,"1,659,531","66,669","1,726,200"
2020,8,"2,223,063","119,547","2,342,611"
2020,9,"2,098,271","82,813","2,181,084"
2020,10,"2,296,177","208,240","2,504,417"
2020,11,"2,407,807","242,664","2,650,471"
2020,12,"2,539,682","316,309","2,855,992"
2020,TOTAL,"29,149,336","2,095,331","31,244,667"
2021,1,"2,388,845","362,329","2,751,174"
2021,2,"2,363,518","289,001","2,652,519"
2021,3,"3,163,008","256,562","3,419,570"
2021,4,"3,432,024","262,480","3,694,504"
2021,5,"3,606,352","259,049","3,865,401"
2021,6,"3,797,456","216,434","4,013,890"
2021,7,"4,005,819","225,810","4,231,629"
2021,8,"4,069,671","201,809","4,271,480"
2021,9,"3,812,281","172,325","3,984,606"
2021,10,"3,874,652","264,330","4,138,982"
2021,11,"3,930,410","326,787","4,257,197"
2021,12,"3,880,987","421,257","4,302,244"
2021,TOTAL,"42,325,024","3,258,173","45,583,197"
2022,1,"3,456,240","382,476","3,838,716"
2022,2,"3,557,711","338,065","3,895,776"
2022,3,"4,230,261","386,936","4,617,196"
2022,4,"4,254,870","357,182","4,612,053"
2022,5,"4,461,478","288,388","4,749,866"
2022,6,"4,406,887","244,876","4,651,763"
2022,7,"4,779,488","259,351","5,038,839"
2022,8,"4,805,293","238,631","5,043,924"
2022,9,"4,454,042","206,932","4,660,975"
2022,10,"4,437,229","216,413","4,653,642"
2022,11,"4,319,932","285,002","4,604,934"
2022,12,"4,339,266","367,503","4,706,769"
2022,TOTAL,"51,502,698","3,571,755","55,074,453"
2023,1,"4,549,245","388,464","4,937,708"
2023,2,"4,102,514","348,985","4,451,499"
2023,3,"4,789,746","399,717","5,189,463"
2023,4,"4,714,917","406,950","5,121,866"
2023,TOTAL,"18,156,421","1,544,115","19,700,537"
