Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,February,"26,279","94,038",3.58,"1,006","3,500",3,"27,285","97,538",3.57
2012,March,"29,466","111,245",3.78,"1,167","4,167",4,"30,633","115,412",3.77
2012,April,"28,624","106,756",3.73,"1,095","3,872",4,"29,719","110,628",3.72
2012,May,"30,137","106,701",3.54,841,"2,844",3,"30,978","109,545",3.54
2012,June,"31,797","100,900",3.17,729,"2,237",3,"32,526","103,137",3.17
2012,July,"32,978","104,438",3.17,712,"2,212",3,"33,690","106,650",3.17
2012,August,"32,584","112,422",3.45,716,"2,400",3,"33,301","114,822",3.45
2012,September,"28,728","105,974",3.69,609,"2,135",4,"29,338","108,109",3.68
2012,October,"29,025","106,623",3.67,885,"3,070",3,"29,909","109,693",3.67
2012,November,"29,160","102,025",3.5,"1,046","3,383",3,"30,205","105,408",3.49
2012,December,"30,410","104,259",3.43,"1,238","3,977",3,"31,647","108,236",3.42
2012 Total,,"356,711","1,250,480",3.51,"11,142","37,450",3,"367,853","1,287,930",3.5
% Chg over 2011,,6.05%,7.20%,1.08%,10.84%,15.45%,4.16%,6.19%,7.43%,1.16%
2013,January,"30,299","105,253",3.47,"1,191","3,948",3,"31,490","109,202",3.47
2013,February,"27,243","100,504",3.69,"1,079","3,808",4,"28,323","104,313",3.68
2013,March,"31,926","111,629",3.5,"1,248","4,151",3,"33,174","115,780",3.49
2013,April,"31,112","103,758",3.33,"1,161","3,648",3,"32,273","107,406",3.33
2013,May,"31,865","100,663",3.16,946,"2,817",3,"32,811","103,481",3.15
2013,June,"33,991","106,500",3.13,861,"2,609",3,"34,852","109,110",3.13
2013,July,"35,959","115,789",3.22,765,"2,393",3,"36,724","118,182",3.22
2013,August,"35,446","117,509",3.32,763,"2,439",3,"36,208","119,948",3.31
2013,September,"30,268","103,417",3.42,665,"2,150",3,"30,933","105,567",3.41
2013,October,"30,208","100,546",3.33,879,"2,754",3,"31,086","103,299",3.32
2013,November,"30,756","100,273",3.26,"1,094","3,409",3,"31,850","103,682",3.26
2013,December,"31,811","108,008",3.4,"1,118","3,589",3,"32,929","111,597",3.39
2013 Total,,"380,884","1,273,850",3.34,"11,769","37,717",3,"392,653","1,311,567",3.34
% Chg over 2012,,6.78%,1.87%,-4.60%,5.63%,0.71%,-4.65%,6.74%,1.84%,-4.60%
2014,January,"31,093","104,835",3.37,"1,104","3,552",3,"32,197","108,387",3.37
2014,February,"28,249","94,886",3.36,"1,049","3,398",3,"29,298","98,284",3.35
2014,March,"33,046","107,751",3.26,"1,154","3,640",3,"34,200","111,391",3.26
2014,April,"31,655","103,356",3.27,"1,064","3,367",3,"32,720","106,723",3.26
2014,May,"32,452","109,553",3.38,898,"2,850",3,"33,350","112,403",3.37
2014,June,"34,643","116,036",3.35,880,"2,757",3,"35,523","118,793",3.34
2014,July,"36,818","121,391",3.3,800,"2,503",3,"37,617","123,894",3.29
2014,August,"36,595","120,087",3.28,752,"2,338",3,"37,347","122,425",3.28
2014,September,"32,142","102,827",3.2,419,"1,215",3,"32,561","104,042",3.2
2014,October,"32,450","96,111",2.96,530,"1,494",3,"32,979","97,606",2.96
2014,November,"32,575","90,704",2.78,"1,044","2,712",3,"33,618","93,417",2.78
2014,December,"34,544","82,943",2.4,"1,288","2,821",2,"35,832","85,764",2.39
2014 Total,,"396,261","1,250,481",3.16,"10,982","32,649",3,"407,243","1,283,129",3.15
% Chg over 2013,,4.04%,-1.83%,-5.64%,-6.69%,-13.44%,-7.23%,3.72%,-2.17%,-5.67%
2015,January,"33,038","65,733",1.99,"1,251","2,216",2,"34,290","67,948",1.98
2015,February,"30,128","59,016",1.96,"1,052","2,015",2,"31,180","61,031",1.96
2015,March,"36,269","72,962",2.01,"1,250","2,419",2,"37,519","75,381",2.01
2015,April,"34,743","68,314",1.97,"1,139","2,181",2,"35,883","70,494",1.96
2015,May,"35,623","80,596",2.26,786,"1,672",2,"36,409","82,268",2.26
2015,June,"36,782","80,409",2.19,626,"1,299",2,"37,408","81,707",2.18
2015,July,"38,669","77,211",2,592,"1,136",2,"39,261","78,347",2
2015,August,"38,688","68,452",1.77,518,885,2,"39,206","69,336",1.77
2015,September,"34,534","58,016",1.68,390,631,2,"34,924","58,647",1.68
2015,October,"35,774","60,179",1.68,692,"1,146",2,"36,466","61,326",1.68
2015,November,"36,371","58,879",1.62,975,"7,314",8,"37,346","66,193",1.77
2015,December,"38,023","55,832",1.47,"1,216","1,708",1,"39,239","57,540",1.47
2015 Total,,"428,644","805,598",1.88,"10,488","24,622",2,"439,131","830,220",1.89
% Chg over 2014,,8.17%,-35.58%,-40.44%,-4.50%,-24.59%,-21.03%,7.83%,-35.30%,-40.00%
2016,January,"36,597","45,828",1.25,"1,070","1,325",1,"37,667","47,153",1.25
2016,February,"34,638","41,076",1.19,894,"1,095",1,"35,531","42,171",1.19
2016,March,"38,563","49,008",1.27,"1,034","1,338",1,"39,597","50,346",1.27
2016,April,"37,750","50,639",1.34,849,"1,146",1,"38,599","51,785",1.34
2016,May,"38,603","56,921",1.47,530,816,2,"39,132","57,738",1.48
2016,June,"39,738","64,569",1.62,606,"1,076",2,"40,344","65,646",1.63
2016,July,"41,220","65,365",1.59,489,833,2,"41,709","66,198",1.59
2016,August,"41,626","61,707",1.48,413,670,2,"42,039","62,377",1.48
2016,September,"35,384","54,867",1.55,297,515,2,"35,681","55,382",1.55
2016,October,"35,852","59,295",1.65,612,"1,076",2,"36,464","60,371",1.66
2016,November,"36,846","59,774",1.62,721,"1,229",2,"37,567","61,003",1.62
2016,December,"39,195","66,505",1.7,891,"1,581",2,"40,086","68,086",1.7
2016 Total,,"456,012","675,555",1.48,"8,405","12,699",2,"464,417","688,254",1.48
% Chg over 2015,,6.38%,-16.14%,-21.18%,-19.86%,-48.42%,-35.64%,5.76%,-17.10%,-21.61%
2017,January,"39,098","68,434",1.75,760,"1,406",2,"39,858","69,840",1.75
2017,February,"35,038","62,679",1.79,722,"1,334",2,"35,760","64,013",1.79
2017,March,"41,707","73,489",1.76,815,"1,455",2,"42,522","74,944",1.76
2017,April,"40,727","71,987",1.77,711,"1,294",2,"41,438","73,280",1.77
2017,May,"42,012","70,462",1.68,457,806,2,"42,469","71,268",1.68
2017,June,"43,055","70,306",1.63,474,807,2,"43,528","71,112",1.63
2017,July,"44,703","74,117",1.66,434,763,2,"45,137","74,881",1.66
2017,August,"44,200","78,480",1.78,508,978,2,"44,709","79,458",1.78
2017,September,"38,818","75,532",1.95,556,"1,167",2,"39,374","76,699",1.95
2017,October,"39,578","76,195",1.93,895,"1,844",2,"40,473","78,039",1.93
2017,November,"39,393","79,567",2.02,"1,107","2,231",2,"40,501","81,798",2.02
2017,December,"41,860","86,132",2.06,"1,297","2,817",2,"43,157","88,949",2.06
2017 Total,,"490,189","887,378",1.81,"8,736","16,901",2,"498,925","904,280",1.81
