Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"828,901","133,027","961,928"
2002,11,"808,997","187,419","996,416"
2002,12,"998,526","207,236","1,205,762"
2002,TOTAL,"11,096,319","2,081,271","13,177,590"
2003,1,"807,069","203,103","1,010,172"
2003,2,"782,864","196,809","979,673"
2003,3,"931,817","221,403","1,153,220"
2003,4,"923,120","200,294","1,123,413"
2003,5,"1,026,466","171,997","1,198,463"
2003,6,"1,193,666","163,012","1,356,678"
2003,7,"1,317,996","188,181","1,506,176"
2003,8,"1,330,507","203,745","1,534,251"
2003,9,"965,620","120,329","1,085,949"
2003,10,"972,495","153,512","1,126,007"
2003,11,"970,964","209,405","1,180,369"
2003,12,"1,075,841","225,781","1,301,623"
2003,TOTAL,"12,298,424","2,257,569","14,555,993"
2004,1,"907,103","218,462","1,125,566"
2004,2,"917,606","204,724","1,122,330"
2004,3,"1,114,090","215,144","1,329,233"
2004,4,"1,060,642","214,735","1,275,377"
2004,5,"1,130,790","176,218","1,307,009"
2004,6,"1,344,084","174,575","1,518,659"
2004,7,"1,478,938","187,998","1,666,936"
2004,8,"1,461,554","192,469","1,654,024"
2004,9,"1,110,985","135,059","1,246,045"
2004,10,"1,096,697","152,739","1,249,436"
2004,11,"1,096,342","215,554","1,311,896"
2004,12,"1,180,814","231,942","1,412,757"
2004,TOTAL,"13,899,647","2,319,620","16,219,267"
2005,1,"1,018,764","229,476","1,248,240"
2005,2,"972,350","211,470","1,183,820"
2005,3,"1,215,724","247,868","1,463,592"
2005,4,"1,156,074","230,850","1,386,924"
2005,5,"1,203,336","183,367","1,386,703"
2005,6,"1,364,026","176,246","1,540,272"
2005,7,"1,436,427","194,944","1,631,371"
2005,8,"1,430,060","207,901","1,637,962"
2005,9,"1,168,620","155,427","1,324,047"
2005,10,"1,129,873","166,931","1,296,804"
2005,11,"1,127,934","237,029","1,364,963"
2005,12,"1,180,187","259,241","1,439,429"
2005,TOTAL,"14,403,376","2,500,750","16,904,126"
2006,1,"1,030,286","264,402","1,294,688"
2006,2,"1,015,301","244,033","1,259,334"
2006,3,"1,249,308","275,677","1,524,985"
2006,4,"1,215,157","270,937","1,486,095"
2006,5,"1,294,314","201,605","1,495,919"
2006,6,"1,451,437","190,316","1,641,752"
2006,7,"1,543,717","205,417","1,749,133"
2006,8,"1,512,930","204,799","1,717,729"
2006,9,"1,242,360","159,648","1,402,008"
2006,10,"1,193,924","179,769","1,373,693"
2006,11,"1,147,487","251,753","1,399,240"
2006,12,"1,191,751","276,677","1,468,429"
2006,TOTAL,"15,087,973","2,725,033","17,813,006"
2007,1,"1,016,525","267,024","1,283,548"
2007,2,"993,212","256,481","1,249,693"
2007,3,"1,239,721","291,616","1,531,337"
2007,4,"1,234,460","280,390","1,514,850"
2007,5,"1,374,728","206,681","1,581,410"
2007,6,"1,529,083","192,928","1,722,011"
2007,7,"1,622,310","205,469","1,827,779"
2007,8,"1,605,686","205,186","1,810,872"
2007,9,"1,266,186","159,937","1,426,123"
2007,10,"1,248,268","181,469","1,429,736"
2007,11,"1,235,535","269,426","1,504,960"
2007,12,"1,276,917","285,302","1,562,219"
2007,TOTAL,"15,642,630","2,801,909","18,444,539"
2008,1,"1,136,603","273,352","1,409,955"
2008,2,"1,155,905","262,291","1,418,196"
2008,3,"1,391,856","303,638","1,695,494"
2008,4,"1,295,835","270,178","1,566,013"
2008,5,"1,417,675","198,972","1,616,647"
2008,6,"1,513,644","173,837","1,687,482"
2008,7,"1,613,122","174,525","1,787,647"
2008,8,"1,619,020","172,662","1,791,682"
2008,9,"1,308,626","120,321","1,428,947"
2008,10,"1,282,112","130,210","1,412,322"
2008,11,"1,203,171","198,145","1,401,316"
2008,12,"1,260,445","220,729","1,481,174"
2008,TOTAL,"16,198,014","2,498,861","18,696,875"
2009,1,"1,124,778","213,775","1,338,553"
2009,2,"1,069,488","196,421","1,265,909"
2009,3,"1,331,161","225,786","1,556,947"
2009,4,"1,260,381","211,937","1,472,318"
2009,5,"1,368,136","124,946","1,493,083"
2009,6,"1,505,740","134,677","1,640,417"
2009,7,"1,670,102","116,605","1,786,707"
2009,8,"1,660,587","114,679","1,775,266"
2009,9,"1,358,088","89,399","1,447,487"
2009,10,"1,361,880","94,584","1,456,464"
2009,11,"1,295,668","178,999","1,474,667"
2009,12,"1,386,474","224,406","1,610,880"
2009,TOTAL,"16,392,484","1,926,214","18,318,698"
2010,1,"1,256,227","212,246","1,468,473"
2010,2,"1,160,514","184,164","1,344,679"
2010,3,"1,438,164","209,264","1,647,429"
2010,4,"1,376,402","205,779","1,582,181"
2010,5,"1,491,844","162,236","1,654,080"
2010,6,"1,698,004","127,806","1,825,810"
2010,7,"1,851,534","129,399","1,980,933"
2010,8,"1,822,069","129,091","1,951,160"
2010,9,"1,521,578","111,245","1,632,823"
2010,10,"1,552,895","135,345","1,688,240"
2010,11,"1,525,845","177,591","1,703,436"
2010,12,"1,613,829","212,525","1,826,354"
2010,TOTAL,"18,308,904","1,996,693","20,305,597"
2011,1,"1,494,244","208,469","1,702,713"
2011,2,"1,402,431","201,372","1,603,803"
2011,3,"1,725,990","237,849","1,963,839"
2011,4,"1,634,701","230,787","1,865,488"
2011,5,"1,672,044","177,102","1,849,147"
2011,6,"1,817,401","159,779","1,977,180"
2011,7,"1,942,594","178,696","2,121,289"
2011,8,"1,932,091","172,394","2,104,484"
2011,9,"1,658,962","146,564","1,805,526"
2011,10,"1,632,096","159,475","1,791,572"
2011,11,"1,634,132","205,602","1,839,734"
2011,12,"1,709,330","227,736","1,937,066"
2011,TOTAL,"20,256,015","2,305,826","22,561,841"
2012,1,"1,593,394","219,433","1,812,827"
2012,2,"1,547,996","209,845","1,757,841"
2012,3,"1,815,067","241,965","2,057,032"
2012,4,"1,761,173","222,072","1,983,245"
2012,5,"1,885,045","172,525","2,057,570"
2012,6,"2,027,915","157,477","2,185,392"
2012,7,"2,138,659","168,295","2,306,955"
2012,8,"2,114,901","160,361","2,275,262"
2012,9,"1,764,585","133,294","1,897,879"
2012,10,"1,782,880","159,881","1,942,761"
2012,11,"1,825,783","187,086","2,012,869"
2012,12,"1,887,811","214,721","2,102,532"
2012,TOTAL,"22,145,208","2,246,956","24,392,164"
2013,1,"1,815,782","213,095","2,028,877"
2013,2,"1,672,430","195,462","1,867,892"
2013,3,"2,034,945","231,653","2,266,598"
2013,4,"1,952,612","211,509","2,164,120"
2013,5,"2,015,684","179,076","2,194,760"
2013,6,"2,179,362","180,696","2,360,058"
2013,7,"2,326,107","191,713","2,517,819"
2013,8,"2,274,683","183,340","2,458,024"
2013,9,"1,834,241","142,489","1,976,730"
2013,10,"1,853,523","161,151","2,014,673"
2013,11,"1,834,521","208,389","2,042,910"
2013,12,"2,016,329","223,522","2,239,851"
2013,TOTAL,"23,810,218","2,322,095","26,132,313"
2014,1,"1,866,286","224,444","2,090,731"
2014,2,"1,742,252","203,408","1,945,661"
2014,3,"2,128,155","228,595","2,356,750"
2014,4,"2,037,066","220,252","2,257,318"
2014,5,"2,108,474","181,445","2,289,919"
2014,6,"2,287,053","184,523","2,471,577"
2014,7,"2,480,874","196,685","2,677,559"
2014,8,"2,424,728","184,415","2,609,142"
2014,9,"2,033,904","109,655","2,143,559"
2014,10,"2,086,645","117,713","2,204,359"
2014,11,"2,047,327","194,447","2,241,774"
2014,12,"2,214,348","236,156","2,450,504"
2014,TOTAL,"25,457,112","2,281,740","27,738,852"
2015,1,"2,040,688","215,060","2,255,748"
2015,2,"1,910,896","188,407","2,099,303"
2015,3,"2,408,408","222,047","2,630,456"
2015,4,"2,283,352","197,247","2,480,599"
2015,5,"2,394,627","132,307","2,526,934"
2015,6,"2,516,303","126,190","2,642,493"
2015,7,"2,695,077","135,691","2,830,767"
2015,8,"2,654,923","126,257","2,781,181"
2015,9,"2,260,390","92,915","2,353,305"
2015,10,"2,341,254","133,528","2,474,782"
2015,11,"2,322,938","208,463","2,531,401"
2015,12,"2,453,934","236,211","2,690,146"
2015,TOTAL,"28,282,791","2,014,324","30,297,115"
2016,1,"2,248,195","237,743","2,485,938"
2016,2,"2,159,619","216,640","2,376,258"
2016,3,"2,599,034","241,489","2,840,523"
2016,4,"2,512,593","222,148","2,734,741"
2016,5,"2,646,187","152,771","2,798,958"
2016,6,"2,743,204","163,269","2,906,473"
2016,7,"2,870,204","179,065","3,049,269"
2016,8,"2,868,663","155,042","3,023,705"
2016,9,"2,393,373","116,008","2,509,381"
2016,10,"2,419,373","166,908","2,586,282"
2016,11,"2,477,244","212,278","2,689,522"
2016,12,"2,562,145","240,311","2,802,456"
2016,TOTAL,"30,499,834","2,303,672","32,803,506"
2017,1,"2,384,125","250,921","2,635,046"
2017,2,"2,181,994","231,131","2,413,125"
2017,3,"2,764,689","271,458","3,036,147"
2017,4,"2,725,324","255,406","2,980,730"
2017,5,"2,889,643","178,275","3,067,918"
2017,6,"2,965,401","194,287","3,159,688"
2017,7,"3,079,603","207,221","3,286,824"
2017,8,"3,027,229","201,760","3,228,989"
2017,9,"2,586,205","153,077","2,739,282"
2017,10,"2,633,878","194,301","2,828,179"
2017,11,"2,632,030","239,016","2,871,045"
2017,12,"2,730,376","277,907","3,008,283"
2017,TOTAL,"32,600,496","2,654,760","35,255,255"
2018,1,"2,414,853","265,533","2,680,386"
2018,2,"2,315,050","229,622","2,544,672"
2018,3,"2,840,134","264,533","3,104,668"
2018,4,"3,938,827","258,260","4,197,087"
2018,5,"4,199,728","199,733","4,399,461"
2018,6,"4,389,596","220,330","4,609,926"
2018,7,"4,548,314","233,728","4,782,042"
2018,8,"4,319,289","204,003","4,523,292"
2018,9,"3,644,830","141,178","3,786,009"
2018,10,"3,870,757","183,293","4,054,050"
2018,11,"3,757,123","250,868","4,007,991"
2018,12,"3,772,057","261,853","4,033,910"
2018,TOTAL,"44,010,558","2,712,935","46,723,493"
2019,1,"3,387,036","255,360","3,642,396"
2019,2,"3,083,911","232,130","3,316,041"
2019,3,"3,930,144","271,537","4,201,681"
2019,4,"3,906,487","254,045","4,160,533"
2019,5,"4,233,733","166,811","4,400,544"
2019,6,"4,455,300","182,395","4,637,694"
2019,7,"4,673,046","190,875","4,863,920"
2019,8,"4,520,090","163,775","4,683,864"
2019,9,"3,860,382","115,635","3,976,017"
2019,10,"3,973,766","156,385","4,130,150"
2019,11,"3,684,307","251,277","3,935,583"
2019,12,"4,124,728","283,660","4,408,388"
2019,TOTAL,"47,832,929","2,523,884","50,356,813"
2020,1,"3,595,024","282,209","3,877,233"
2020,2,"3,365,662","273,155","3,638,817"
2020,3,"1,863,991","177,116","2,041,107"
2020,4,"138,252","6,797","145,049"
2020,5,"350,625","9,352","359,977"
2020,6,"732,536","23,747","756,284"
2020,7,"890,076","39,011","929,087"
2020,8,"975,353","59,759","1,035,112"
2020,9,"931,774","47,863","979,637"
2020,10,"1,078,283","115,388","1,193,671"
2020,11,"1,041,677","134,803","1,176,480"
2020,12,"1,086,101","150,821","1,236,922"
2020,TOTAL,"16,049,355","1,320,023","17,369,378"
2021,1,"1,009,539","158,122","1,167,661"
2021,2,"1,162,639","130,145","1,292,784"
2021,3,"1,943,072","171,788","2,114,860"
2021,4,"2,373,505","212,389","2,585,894"
2021,5,"2,678,315","217,829","2,896,144"
2021,6,"3,266,782","200,297","3,467,080"
2021,7,"3,539,734","198,477","3,738,211"
2021,8,"3,348,783","160,058","3,508,841"
2021,9,"2,722,535","126,461","2,848,996"
2021,10,"2,886,346","210,250","3,096,596"
2021,11,"3,125,285","273,123","3,398,409"
2021,12,"3,230,395","332,817","3,563,212"
2021,TOTAL,"31,286,931","2,391,756","33,678,687"
2022,1,"2,369,847","269,184","2,639,031"
2022,2,"2,639,988","264,698","2,904,686"
2022,3,"3,610,606","333,957","3,944,563"
2022,4,"3,727,185","317,514","4,044,699"
2022,5,"3,932,009","253,892","4,185,901"
2022,6,"3,986,510","220,811","4,207,321"
2022,7,"4,279,905","237,961","4,517,866"
2022,8,"4,173,451","207,857","4,381,309"
2022,9,"3,751,717","170,823","3,922,540"
2022,10,"3,841,565","194,393","4,035,959"
2022,11,"3,650,144","251,622","3,901,766"
2022,12,"3,713,549","321,710","4,035,258"
2022,TOTAL,"43,676,476","3,044,422","46,720,898"
2023,1,"3,429,130","343,239","3,772,368"
2023,2,"3,228,376","306,628","3,535,005"
2023,3,"3,984,558","353,563","4,338,121"
2023,4,"4,030,509","358,256","4,388,765"
2023,TOTAL,"14,672,573","1,361,686","16,034,259"
