Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"9,672",,"9,672"
2002,11,"8,703",,"8,703"
2002,12,"9,175",,"9,175"
2002,TOTAL,"63,344",0,"63,344"
2003,1,"8,092",,"8,092"
2003,2,"7,019",,"7,019"
2003,3,"12,958",,"12,958"
2003,4,"12,803",,"12,803"
2003,5,"13,564",,"13,564"
2003,6,"17,005",,"17,005"
2003,7,"31,963",,"31,963"
2003,8,"38,674",,"38,674"
2003,9,"36,648",,"36,648"
2003,10,"38,841",,"38,841"
2003,11,"39,438",,"39,438"
2003,12,"37,915",,"37,915"
2003,TOTAL,"294,921",0,"294,921"
2004,1,"32,406",,"32,406"
2004,2,"36,784",,"36,784"
2004,3,"49,959",,"49,959"
2004,4,"49,599",,"49,599"
2004,5,"54,846",,"54,846"
2004,6,"51,502",,"51,502"
2004,7,"60,069",,"60,069"
2004,8,"65,827",,"65,827"
2004,9,"65,313",,"65,313"
2004,10,"76,341",281,"76,623"
2004,11,"72,941",,"72,941"
2004,12,"79,332",,"79,332"
2004,TOTAL,"694,919",281,"695,200"
2005,1,"71,032",,"71,032"
2005,2,"65,409",,"65,409"
2005,3,"76,482",,"76,482"
2005,4,"74,190",,"74,190"
2005,5,"89,868",,"89,868"
2005,6,"121,136","1,175","122,310"
2005,7,"123,395",,"123,395"
2005,8,"122,290",,"122,290"
2005,9,"119,261",,"119,261"
2005,10,"128,582",,"128,582"
2005,11,"138,946",,"138,946"
2005,12,"178,700",,"178,700"
2005,TOTAL,"1,309,292","1,175","1,310,466"
2006,1,"191,115",,"191,115"
2006,2,"191,780",,"191,780"
2006,3,"223,937",,"223,937"
2006,4,"207,519",,"207,519"
2006,5,"188,233",,"188,233"
2006,6,"213,804",,"213,804"
2006,7,"225,153",,"225,153"
2006,8,"208,858",,"208,858"
2006,9,"168,601",,"168,601"
2006,10,"184,561",,"184,561"
2006,11,"213,992",,"213,992"
2006,12,"252,596",,"252,596"
2006,TOTAL,"2,470,149",0,"2,470,149"
2007,1,"229,043",,"229,043"
2007,2,"240,603",,"240,603"
2007,3,"306,829",,"306,829"
2007,4,"282,420",,"282,420"
2007,5,"253,567",,"253,567"
2007,6,"296,522",,"296,522"
2007,7,"319,761",,"319,761"
2007,8,"272,698",,"272,698"
2007,9,"220,709",,"220,709"
2007,10,"252,483",,"252,483"
2007,11,"347,460",,"347,460"
2007,12,"394,680",,"394,680"
2007,TOTAL,"3,416,774",0,"3,416,774"
2008,1,"337,605",,"337,605"
2008,2,"348,229",,"348,229"
2008,3,"432,625",,"432,625"
2008,4,"340,676",,"340,676"
2008,5,"341,896",,"341,896"
2008,6,"352,654",,"352,654"
2008,7,"331,386",,"331,386"
2008,8,"281,450",,"281,450"
2008,9,"180,310",,"180,310"
2008,10,"238,140",,"238,140"
2008,11,"310,988",,"310,988"
2008,12,"386,162",,"386,162"
2008,TOTAL,"3,882,122",0,"3,882,122"
2009,1,"339,907",,"339,907"
2009,2,"366,485",,"366,485"
2009,3,"507,405",,"507,405"
2009,4,"442,406",,"442,406"
2009,5,"420,183",,"420,183"
2009,6,"486,361",,"486,361"
2009,7,"498,729",,"498,729"
2009,8,"424,300",,"424,300"
2009,9,"294,363",,"294,363"
2009,10,"329,970",,"329,970"
2009,11,"387,154",,"387,154"
2009,12,"447,343",,"447,343"
2009,TOTAL,"4,944,605",0,"4,944,605"
2010,1,"406,199",,"406,199"
2010,2,"430,726",,"430,726"
2010,3,"586,730",,"586,730"
2010,4,"505,176",,"505,176"
