Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,155,,155
2002,11,157,,157
2002,12,155,,155
2002,TOTAL,"1,435",0,"1,435"
2003,1,134,,134
2003,2,105,,105
2003,3,148,,148
2003,4,144,,144
2003,5,147,,147
2003,6,164,,164
2003,7,249,,249
2003,8,299,,299
2003,9,279,,279
2003,10,301,,301
2003,11,293,,293
2003,12,298,,298
2003,TOTAL,"2,561",0,"2,561"
2004,1,253,,253
2004,2,278,,278
2004,3,355,,355
2004,4,340,,340
2004,5,368,,368
2004,6,333,,333
2004,7,373,,373
2004,8,423,,423
2004,9,425,,425
2004,10,486,1,487
2004,11,479,,479
2004,12,527,,527
2004,TOTAL,"4,640",1,"4,641"
2005,1,476,,476
2005,2,429,,429
2005,3,510,,510
2005,4,499,,499
2005,5,594,,594
2005,6,808,8,816
2005,7,808,,808
2005,8,780,,780
2005,9,740,,740
2005,10,816,,816
2005,11,877,,877
2005,12,"1,124",,"1,124"
2005,TOTAL,"8,461",8,"8,469"
2006,1,"1,206",,"1,206"
2006,2,"1,206",,"1,206"
2006,3,"1,392",,"1,392"
2006,4,"1,318",,"1,318"
2006,5,"1,236",,"1,236"
2006,6,"1,436",,"1,436"
2006,7,"1,533",,"1,533"
2006,8,"1,431",,"1,431"
2006,9,"1,162",,"1,162"
2006,10,"1,257",,"1,257"
2006,11,"1,523",,"1,523"
2006,12,"1,860",,"1,860"
2006,TOTAL,"16,560",0,"16,560"
2007,1,"1,704",,"1,704"
2007,2,"1,753",,"1,753"
2007,3,"2,196",,"2,196"
2007,4,"2,030",,"2,030"
2007,5,"1,859",,"1,859"
2007,6,"2,168",,"2,168"
2007,7,"2,353",,"2,353"
2007,8,"1,992",,"1,992"
2007,9,"1,575",,"1,575"
2007,10,"1,810",,"1,810"
2007,11,"2,494",,"2,494"
2007,12,"2,910",,"2,910"
2007,TOTAL,"24,844",0,"24,844"
2008,1,"2,485",,"2,485"
2008,2,"2,557",,"2,557"
2008,3,"3,181",,"3,181"
2008,4,"2,546",,"2,546"
2008,5,"2,579",,"2,579"
2008,6,"2,688",,"2,688"
2008,7,"2,565",,"2,565"
2008,8,"2,200",,"2,200"
2008,9,"1,382",,"1,382"
2008,10,"1,804",,"1,804"
2008,11,"2,352",,"2,352"
2008,12,"2,947",,"2,947"
2008,TOTAL,"29,286",0,"29,286"
2009,1,"2,549",,"2,549"
2009,2,"2,715",,"2,715"
2009,3,"3,776",,"3,776"
2009,4,"3,325",,"3,325"
2009,5,"3,256",,"3,256"
2009,6,"3,659",,"3,659"
2009,7,"3,752",,"3,752"
2009,8,"3,160",,"3,160"
2009,9,"2,169",,"2,169"
2009,10,"2,407",,"2,407"
2009,11,"2,783",,"2,783"
2009,12,"3,184",,"3,184"
2009,TOTAL,"36,735",0,"36,735"
2010,1,"2,899",,"2,899"
2010,2,"2,997",,"2,997"
2010,3,"4,070",,"4,070"
2010,4,"3,580",,"3,580"
2010,5,"3,317",,"3,317"
2010,6,"3,800",,"3,800"
2010,7,"4,629",,"4,629"
2010,8,"3,868",,"3,868"
2010,9,"2,657",,"2,657"
2010,10,"2,870",,"2,870"
2010,11,"3,094",,"3,094"
2010,12,"3,687",,"3,687"
2010,TOTAL,"41,468",0,"41,468"
2011,1,"3,303",,"3,303"
2011,2,"2,995",2,"2,997"
2011,3,"4,151",,"4,151"
2011,4,"3,567",,"3,567"
2011,5,"3,154",,"3,154"
2011,6,"3,905",,"3,905"
2011,7,"4,552",,"4,552"
2011,8,"3,435",,"3,435"
2011,9,"2,652",,"2,652"
2011,10,"3,030",,"3,030"
2011,11,"3,275",,"3,275"
2011,12,"3,927",,"3,927"
2011,TOTAL,"41,946",2,"41,948"
2012,1,"3,628",,"3,628"
2012,2,"3,611",,"3,611"
2012,3,"5,107",,"5,107"
2012,4,"4,269",,"4,269"
2012,5,"3,677",,"3,677"
2012,6,"4,039",,"4,039"
2012,7,"4,485",,"4,485"
2012,8,"3,755",,"3,755"
2012,9,"2,889",,"2,889"
2012,10,"3,283",,"3,283"
2012,11,"3,705",,"3,705"
2012,12,"4,041",,"4,041"
2012,TOTAL,"46,489",0,"46,489"
2013,1,"3,566",,"3,566"
2013,2,"3,587",,"3,587"
2013,3,"5,162",,"5,162"
2013,4,"3,987",,"3,987"
2013,5,"3,946",,"3,946"
2013,6,"4,599",,"4,599"
2013,7,"4,812",,"4,812"
2013,8,"3,618",,"3,618"
2013,9,"2,659",,"2,659"
2013,10,"3,133",,"3,133"
2013,11,"3,841",,"3,841"
2013,12,"4,631",,"4,631"
2013,TOTAL,"47,541",0,"47,541"
2014,1,"4,098",,"4,098"
2014,2,"4,055",,"4,055"
2014,3,"5,507",,"5,507"
2014,4,"4,372",,"4,372"
2014,5,"4,311",,"4,311"
2014,6,"5,238",,"5,238"
2014,7,"5,329",,"5,329"
2014,8,"4,291",,"4,291"
2014,9,"3,059",,"3,059"
2014,10,"3,970",,"3,970"
2014,11,"4,265",,"4,265"
2014,12,"4,950",,"4,950"
2014,TOTAL,"53,445",0,"53,445"
2015,1,"4,389",,"4,389"
2015,2,"4,500",,"4,500"
2015,3,"6,172",,"6,172"
2015,4,"5,251",,"5,251"
2015,5,"5,121",,"5,121"
2015,6,"6,282",,"6,282"
2015,7,"6,893",,"6,893"
2015,8,"5,581",,"5,581"
2015,9,"3,816",,"3,816"
2015,10,"5,137",,"5,137"
2015,11,"5,443",,"5,443"
2015,12,"6,049",,"6,049"
2015,TOTAL,"64,634",0,"64,634"
2016,1,"5,299",,"5,299"
2016,2,"5,561",,"5,561"
2016,3,"7,034",,"7,034"
2016,4,"5,932",,"5,932"
2016,5,"6,168",,"6,168"
2016,6,"7,746",2,"7,748"
2016,7,"8,263",,"8,263"
2016,8,"6,444",,"6,444"
2016,9,"5,372",,"5,372"
2016,10,"6,255",,"6,255"
2016,11,"6,269",,"6,269"
2016,12,"7,567",,"7,567"
2016,TOTAL,"77,910",2,"77,912"
2017,1,"6,451",,"6,451"
2017,2,"6,412",48,"6,460"
2017,3,"8,171",,"8,171"
2017,4,"7,308",,"7,308"
2017,5,"7,268",,"7,268"
2017,6,"8,693",,"8,693"
2017,7,"8,948",,"8,948"
2017,8,"7,131",,"7,131"
2017,9,"5,033",,"5,033"
2017,10,"7,204",,"7,204"
2017,11,"6,847",,"6,847"
2017,12,"7,744",,"7,744"
2017,TOTAL,"87,210",48,"87,258"
2018,1,"6,763",,"6,763"
2018,2,"7,020",,"7,020"
2018,3,"9,237",,"9,237"
2018,4,"8,116",,"8,116"
2018,5,"8,011",,"8,011"
2018,6,"9,979",4,"9,983"
2018,7,"10,191",,"10,191"
2018,8,"8,177",,"8,177"
2018,9,"5,659",,"5,659"
2018,10,"7,571",,"7,571"
2018,11,"7,612",,"7,612"
2018,12,"7,612",,"7,612"
2018,TOTAL,"95,948",4,"95,952"
2019,1,"6,715",,"6,715"
2019,2,"7,187",,"7,187"
2019,3,"10,223",,"10,223"
2019,4,"9,219",,"9,219"
2019,5,"9,008",,"9,008"
2019,6,"11,041",,"11,041"
2019,7,"11,745",,"11,745"
2019,8,"8,693",,"8,693"
2019,9,"5,582",,"5,582"
2019,10,"7,862",,"7,862"
2019,11,"8,115",,"8,115"
2019,12,"9,318",,"9,318"
2019,TOTAL,"104,708",0,"104,708"
2020,1,"7,692",,"7,692"
2020,2,"8,692",,"8,692"
2020,3,"8,857",,"8,857"
2020,4,"1,082",,"1,082"
2020,5,"4,610",,"4,610"
2020,6,"8,886",,"8,886"
2020,7,"10,269",,"10,269"
2020,8,"8,372",,"8,372"
2020,9,"4,839",,"4,839"
2020,10,"7,098",,"7,098"
2020,11,"6,884",,"6,884"
2020,12,"7,222",,"7,222"
2020,TOTAL,"84,503",0,"84,503"
2021,1,"5,551",,"5,551"
2021,2,"7,549",,"7,549"
2021,3,"11,630",,"11,630"
2021,4,"9,329",,"9,329"
2021,5,"8,897",,"8,897"
2021,6,"12,291",,"12,291"
2021,7,"13,310",,"13,310"
2021,8,"9,353",,"9,353"
2021,9,"6,653",,"6,653"
2021,10,"8,981",,"8,981"
2021,11,"8,846",,"8,846"
2021,12,"9,701",,"9,701"
2021,TOTAL,"112,091",0,"112,091"
2022,1,"8,000",,"8,000"
2022,2,"8,193",,"8,193"
