Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,January,"8,785","28,960",3.3,0,0,-,"8,785","28,960",3.3
2012,February,"9,358","32,225",3.44,0,0,-,"9,358","32,225",3.44
2012,March,"13,097","47,130",3.6,0,0,-,"13,097","47,130",3.6
2012,April,"10,808","38,149",3.53,0,0,-,"10,808","38,149",3.53
2012,May,"9,180","31,234",3.4,0,0,-,"9,180","31,234",3.4
2012,June,"10,060","30,700",3.05,0,0,-,"10,060","30,700",3.05
2012,July,"11,403","35,693",3.13,0,0,-,"11,403","35,693",3.13
2012,August,"9,914","33,397",3.37,0,0,-,"9,914","33,397",3.37
2012,September,"7,564","27,024",3.57,0,0,-,"7,564","27,024",3.57
2012,October,"8,525","29,920",3.51,0,0,-,"8,525","29,920",3.51
2012,November,"9,633","32,225",3.35,0,0,-,"9,633","32,225",3.35
2012,December,"10,511","34,709",3.3,0,0,-,"10,511","34,709",3.3
2012 Total,,"118,839","401,365",3.38,0,0,-,"118,839","401,365",3.38
% Chg over 2011,,10.43%,12.62%,1.99%,-,-,-,10.43%,12.62%,1.99%
2013,January,"9,291","31,170",3.36,0,0,-,"9,291","31,170",3.36
2013,February,"9,455","33,532",3.55,0,0,-,"9,455","33,532",3.55
2013,March,"13,414","45,203",3.37,0,0,-,"13,414","45,203",3.37
2013,April,"10,230","33,076",3.23,0,0,-,"10,230","33,076",3.23
2013,May,"9,743","29,861",3.06,0,0,-,"9,743","29,861",3.06
2013,June,"11,495","35,528",3.09,0,0,-,"11,495","35,528",3.09
2013,July,"12,219","38,920",3.19,0,0,-,"12,219","38,920",3.19
2013,August,"9,096","29,639",3.26,0,0,-,"9,096","29,639",3.26
2013,September,"6,854","22,728",3.32,0,0,-,"6,854","22,728",3.32
