Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"3,455",,"3,455"
2002,11,"4,240",,"4,240"
2002,12,"5,475",,"5,475"
2002,TOTAL,"33,553",0,"33,553"
2003,1,"4,711",,"4,711"
2003,2,"4,330",,"4,330"
2003,3,"9,281",,"9,281"
2003,4,"8,324",,"8,324"
2003,5,"9,162",,"9,162"
2003,6,"13,309",,"13,309"
2003,7,"23,946",,"23,946"
2003,8,"27,738",,"27,738"
2003,9,"23,493",,"23,493"
2003,10,"27,825",,"27,825"
2003,11,"25,225",,"25,225"
2003,12,"25,681",,"25,681"
2003,TOTAL,"203,025",0,"203,025"
2004,1,"22,634",,"22,634"
2004,2,"28,553",,"28,553"
2004,3,"39,384",,"39,384"
2004,4,"36,478",,"36,478"
2004,5,"36,677",,"36,677"
2004,6,"39,576",,"39,576"
2004,7,"48,418",,"48,418"
2004,8,"47,189",,"47,189"
2004,9,"46,893",,"46,893"
2004,10,"57,442",125,"57,567"
2004,11,"54,504",,"54,504"
2004,12,"59,166",,"59,166"
2004,TOTAL,"516,912",125,"517,037"
2005,1,"53,448",,"53,448"
2005,2,"55,455",,"55,455"
2005,3,"68,630",,"68,630"
2005,4,"65,638",,"65,638"
2005,5,"76,518",,"76,518"
2005,6,"102,921",803,"103,724"
2005,7,"93,624",,"93,624"
2005,8,"89,124",,"89,124"
2005,9,"88,767",,"88,767"
2005,10,"103,894",,"103,894"
2005,11,"107,957",,"107,957"
2005,12,"137,480",,"137,480"
2005,TOTAL,"1,043,455",803,"1,044,258"
2006,1,"148,087",,"148,087"
2006,2,"154,057",,"154,057"
2006,3,"193,408",,"193,408"
2006,4,"169,430",,"169,430"
2006,5,"151,444",,"151,444"
2006,6,"183,073",,"183,073"
2006,7,"195,537",,"195,537"
2006,8,"163,813",,"163,813"
2006,9,"122,614",,"122,614"
2006,10,"147,273",,"147,273"
2006,11,"166,637",,"166,637"
2006,12,"198,184",,"198,184"
2006,TOTAL,"1,993,557",0,"1,993,557"
2007,1,"178,396",,"178,396"
2007,2,"194,737",,"194,737"
2007,3,"267,948",,"267,948"
2007,4,"231,868",,"231,868"
2007,5,"213,199",,"213,199"
2007,6,"262,661",,"262,661"
2007,7,"291,356",,"291,356"
2007,8,"236,643",,"236,643"
2007,9,"172,410",,"172,410"
2007,10,"203,806",,"203,806"
2007,11,"273,958",,"273,958"
2007,12,"311,842",,"311,842"
2007,TOTAL,"2,838,824",0,"2,838,824"
2008,1,"278,335",,"278,335"
2008,2,"300,840",,"300,840"
2008,3,"392,964",,"392,964"
2008,4,"298,125",,"298,125"
2008,5,"307,458",,"307,458"
2008,6,"331,369",,"331,369"
2008,7,"315,404",,"315,404"
2008,8,"262,739",,"262,739"
2008,9,"165,536",,"165,536"
2008,10,"217,233",,"217,233"
2008,11,"279,568",,"279,568"
2008,12,"342,653",,"342,653"
2008,TOTAL,"3,492,224",0,"3,492,224"
2009,1,"302,732",,"302,732"
2009,2,"330,713",,"330,713"
2009,3,"468,252",,"468,252"
2009,4,"399,760",,"399,760"
2009,5,"380,814",,"380,814"
2009,6,"444,852",,"444,852"
2009,7,"446,978",,"446,978"
2009,8,"382,534",,"382,534"
2009,9,"264,395",,"264,395"
2009,10,"295,524",,"295,524"
2009,11,"349,805",,"349,805"
2009,12,"405,362",,"405,362"
2009,TOTAL,"4,471,721",0,"4,471,721"
2010,1,"367,180",,"367,180"
2010,2,"393,606",,"393,606"
