Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"10,267,755","4,290,747","14,558,503"
2002,11,"9,547,305","3,924,870","13,472,175"
2002,12,"9,939,647","4,179,996","14,119,643"
2002,TOTAL,"121,596,319","50,115,327","171,711,646"
2003,1,"9,801,309","4,237,389","14,038,698"
2003,2,"8,476,555","3,665,686","12,142,241"
2003,3,"9,782,676","4,147,309","13,929,984"
2003,4,"9,336,457","3,874,139","13,210,596"
2003,5,"9,432,542","3,912,655","13,345,197"
2003,6,"9,477,009","4,280,106","13,757,115"
2003,7,"10,028,508","4,728,775","14,757,282"
2003,8,"9,937,121","4,725,588","14,662,709"
2003,9,"9,166,289","4,294,746","13,461,035"
2003,10,"9,620,031","4,343,985","13,964,015"
2003,11,"9,006,214","4,258,190","13,264,404"
2003,12,"9,512,148","4,494,752","14,006,899"
2003,TOTAL,"113,576,858","50,963,317","164,540,175"
2004,1,"9,549,791","4,601,140","14,150,931"
2004,2,"9,250,803","4,334,442","13,585,245"
2004,3,"10,064,912","4,645,930","14,710,842"
2004,4,"9,745,423","4,670,448","14,415,871"
2004,5,"9,666,776","4,980,580","14,647,356"
2004,6,"9,763,164","5,085,587","14,848,751"
2004,7,"9,979,086","5,537,698","15,516,784"
2004,8,"10,010,638","5,496,447","15,507,084"
2004,9,"8,704,450","4,693,408","13,397,857"
2004,10,"9,335,118","4,954,384","14,289,502"
2004,11,"9,121,793","4,699,694","13,821,488"
2004,12,"9,631,591","5,064,984","14,696,575"
2004,TOTAL,"114,823,543","58,764,743","173,588,287"
2005,1,"9,283,530","5,109,701","14,393,231"
2005,2,"8,615,346","4,669,386","13,284,732"
2005,3,"9,753,725","5,264,376","15,018,101"
2005,4,"9,313,712","5,271,468","14,585,180"
2005,5,"9,598,325","5,488,379","15,086,704"
2005,6,"9,683,825","5,588,503","15,272,329"
2005,7,"10,051,042","5,929,906","15,980,948"
2005,8,"9,783,599","5,699,472","15,483,071"
2005,9,"8,826,889","5,248,185","14,075,074"
2005,10,"8,882,582","5,194,094","14,076,675"
2005,11,"8,951,655","4,975,890","13,927,545"
2005,12,"9,190,202","5,334,605","14,524,807"
2005,TOTAL,"111,934,432","63,773,965","175,708,397"
2006,1,"9,250,645","5,419,143","14,669,788"
2006,2,"8,290,765","4,840,931","13,131,696"
2006,3,"9,424,489","5,469,144","14,893,633"
2006,4,"9,087,020","5,510,846","14,597,866"
2006,5,"9,401,853","5,743,932","15,145,785"
2006,6,"9,152,613","5,659,459","14,812,072"
2006,7,"9,350,637","5,914,922","15,265,559"
2006,8,"9,363,836","5,837,838","15,201,674"
2006,9,"8,633,028","5,387,210","14,020,238"
2006,10,"8,903,050","5,429,321","14,332,371"
2006,11,"8,520,257","4,902,136","13,422,394"
2006,12,"8,979,767","5,360,525","14,340,293"
2006,TOTAL,"108,357,961","65,475,409","173,833,370"
2007,1,"9,032,155","5,440,494","14,472,649"
2007,2,"7,970,558","4,743,598","12,714,157"
2007,3,"9,088,622","5,376,901","14,465,523"
2007,4,"8,706,034","5,346,134","14,052,168"
