Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,January,"115,848","353,025",3,"82,381","248,793",3,"198,229","601,818",3.04
2012,February,"111,574","357,962",3,"76,655","232,694",3,"188,229","590,656",3.14
2012,March,"123,400","405,851",3,"82,444","266,763",3,"205,845","672,613",3.27
2012,April,"115,059","387,435",3,"79,280","257,347",3,"194,338","644,783",3.32
2012,May,"122,769","406,421",3,"83,024","255,443",3,"205,793","661,864",3.22
2012,June,"119,582","355,686",3,"84,366","240,772",3,"203,948","596,457",2.92
2012,July,"125,025","368,489",3,"90,492","251,784",3,"215,517","620,274",2.88
2012,August,"122,409","367,809",3,"88,051","259,874",3,"210,459","627,683",2.98
2012,September,"110,630","378,481",3,"81,832","256,053",3,"192,462","634,534",3.3
2012,October,"113,805","372,588",3,"83,519","262,517",3,"197,324","635,106",3.22
2012,November,"102,104","352,424",3,"89,309","241,724",3,"191,413","594,148",3.1
2012,December,"120,676","373,309",3,"85,336","255,292",3,"206,011","628,601",3.05
2012 Total,,"1,402,880","4,479,480",3,"1,006,689","3,029,056",3,"2,409,569","7,508,536",3.12
% Chg over 2011,,-3.19%,7.18%,10.71%,1.08%,1.86%,0.78%,-1.45%,4.97%,6.52%
2013,January,"118,585","381,858",3,"83,093","253,579",3,"201,677","635,437",3.15
2013,February,"107,669","348,198",3,"75,262","242,101",3,"182,931","590,300",3.23
2013,March,"121,117","385,591",3,"86,497","268,581",3,"207,613","654,172",3.15
2013,April,"116,580","368,027",3,"83,103","249,231",3,"199,683","617,259",3.09
2013,May,"121,552","353,615",3,"88,356","247,673",3,"209,908","601,288",2.86
2013,June,"122,270","354,400",3,"91,254","252,167",3,"213,524","606,568",2.84
2013,July,"126,732","353,426",3,"97,549","274,825",3,"224,281","628,251",2.8
2013,August,"112,353","384,720",3,"108,890","277,623",3,"221,243","662,343",2.99
2013,September,"112,138","363,996",3,"84,987","240,078",3,"197,126","604,074",3.06
2013,October,"105,786","364,887",3,"99,467","252,702",3,"205,253","617,589",3.01
2013,November,"99,845","332,311",3,"94,219","237,277",3,"194,063","569,588",2.94
2013,December,"116,490","364,515",3,"90,297","263,222",3,"206,787","627,737",3.04
2013 Total,,"1,381,118","4,355,545",3,"1,082,973","3,059,060",3,"2,464,091","7,414,605",3.01
% Chg over 2012,,-1.55%,-2.77%,-1.23%,7.58%,0.99%,-6.12%,2.26%,-1.25%,-3.44%
