Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"7,069,809","2,911,504","9,981,313"
2002,11,"6,384,907","2,717,393","9,102,300"
2002,12,"7,239,415","3,112,296","10,351,711"
2002,TOTAL,"85,276,920","36,227,426","121,504,345"
2003,1,"6,428,843","2,976,704","9,405,547"
2003,2,"5,861,473","2,493,611","8,355,084"
2003,3,"7,095,490","2,886,137","9,981,627"
2003,4,"6,764,567","2,561,054","9,325,622"
2003,5,"7,055,380","2,783,080","9,838,460"
2003,6,"7,547,830","3,306,066","10,853,896"
2003,7,"8,192,931","3,767,023","11,959,953"
2003,8,"7,923,807","3,752,936","11,676,743"
2003,9,"6,015,739","2,981,061","8,996,800"
2003,10,"6,823,007","2,989,832","9,812,839"
2003,11,"6,345,182","3,032,221","9,377,403"
2003,12,"6,932,879","3,409,352","10,342,231"
2003,TOTAL,"82,987,127","36,939,078","119,926,205"
2004,1,"6,463,552","3,304,365","9,767,917"
2004,2,"6,458,121","2,913,449","9,371,570"
2004,3,"7,596,733","3,466,124","11,062,857"
2004,4,"7,412,197","3,406,687","10,818,884"
2004,5,"7,168,145","3,556,862","10,725,007"
2004,6,"7,830,261","3,911,727","11,741,988"
2004,7,"8,170,618","4,420,268","12,590,886"
2004,8,"7,909,314","4,268,443","12,177,757"
2004,9,"6,353,111","3,489,849","9,842,960"
2004,10,"7,124,411","3,586,650","10,711,061"
2004,11,"6,819,002","3,333,751","10,152,753"
2004,12,"7,202,828","3,772,126","10,974,955"
2004,TOTAL,"86,508,296","43,430,301","129,938,597"
2005,1,"6,809,753","3,748,104","10,557,858"
2005,2,"6,365,427","3,232,996","9,598,423"
2005,3,"7,964,044","4,098,787","12,062,831"
2005,4,"7,435,692","3,866,996","11,302,688"
2005,5,"7,700,682","4,100,162","11,800,844"
2005,6,"8,224,043","4,433,929","12,657,972"
2005,7,"8,671,965","4,938,976","13,610,941"
2005,8,"8,044,404","4,595,541","12,639,945"
2005,9,"6,841,868","3,893,433","10,735,301"
2005,10,"7,130,337","3,737,886","10,868,223"
2005,11,"7,250,039","3,572,236","10,822,276"
2005,12,"7,398,547","4,081,204","11,479,750"
2005,TOTAL,"89,836,800","48,300,252","138,137,052"
2006,1,"7,042,279","3,983,437","11,025,716"
2006,2,"6,492,132","3,365,286","9,857,418"
2006,3,"7,881,341","4,213,465","12,094,806"
2006,4,"7,672,135","4,259,292","11,931,427"
2006,5,"7,842,874","4,397,100","12,239,974"
2006,6,"8,005,693","4,650,363","12,656,056"
2006,7,"8,277,155","5,016,360","13,293,515"
2006,8,"7,739,014","4,728,876","12,467,889"
2006,9,"6,576,768","4,015,197","10,591,965"
2006,10,"7,152,613","3,967,777","11,120,389"
2006,11,"7,010,882","3,692,636","10,703,518"
2006,12,"7,238,989","4,109,869","11,348,858"
2006,TOTAL,"88,931,875","50,399,657","139,331,532"
2007,1,"6,845,494","4,047,266","10,892,760"
2007,2,"6,328,448","3,402,171","9,730,619"
2007,3,"7,679,511","4,247,042","11,926,553"
2007,4,"7,393,504","4,148,698","11,542,202"
2007,5,"7,649,605","4,234,342","11,883,947"
2007,6,"7,766,800","4,455,038","12,221,838"
2007,7,"8,101,986","4,800,023","12,902,009"
2007,8,"7,872,221","4,644,088","12,516,309"
2007,9,"6,738,623","4,106,348","10,844,971"
2007,10,"7,372,676","4,144,331","11,517,008"
2007,11,"7,155,686","3,984,400","11,140,086"
2007,12,"6,944,294","4,288,129","11,232,423"
2007,TOTAL,"87,848,848","50,501,876","138,350,724"
2008,1,"6,702,338","4,206,991","10,909,328"
2008,2,"6,290,485","3,684,299","9,974,784"
2008,3,"7,231,640","4,352,908","11,584,548"
2008,4,"6,778,898","4,004,946","10,783,844"
2008,5,"7,411,767","4,342,223","11,753,990"
2008,6,"7,422,810","4,420,370","11,843,180"
