Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,January,"115,997","368,709",3,"118,931","378,036",3,"234,928","746,745",3.18
2012,February,"110,722","359,564",3,"110,808","359,841",3,"221,530","719,405",3.25
2012,March,"130,412","434,568",3,"127,142","423,670",3,"257,554","858,238",3.33
2012,April,"123,563","423,220",3,"125,224","428,908",3,"248,787","852,128",3.43
2012,May,"127,988","435,069",3,"134,256","456,376",3,"262,245","891,446",3.4
2012,June,"136,122","461,200",3,"143,298","485,513",3,"279,419","946,712",3.39
2012,July,"143,754","458,303",3,"151,415","482,727",3,"295,170","941,030",3.19
2012,August,"142,619","450,585",3,"149,194","471,361",3,"291,813","921,946",3.16
2012,September,"128,432","380,452",3,"127,926","378,953",3,"256,359","759,405",2.96
2012,October,"131,646","442,548",3,"125,624","421,561",3,"257,270","864,109",3.36
2012,November,"125,221","395,210",3,"109,473","344,877",3,"234,695","740,087",3.15
2012,December,"125,139","403,254",3,"117,805","378,994",3,"242,944","782,248",3.22
2012 Total,,"1,541,617","5,012,683",3,"1,541,098","5,010,816",3,"3,082,714","10,023,499",3.25
% Chg over 2011,,-2.52%,5.81%,8.55%,-0.68%,7.69%,8.43%,-1.61%,6.74%,8.49%
2013,January,"121,233","387,249",3,"116,784","372,421",3,"238,017","759,670",3.19
2013,February,"110,984","356,012",3,"107,282","343,438",3,"218,265","699,450",3.2
2013,March,"136,994","449,374",3,"123,565","404,622",3,"260,558","853,996",3.28
2013,April,"130,746","410,613",3,"124,808","391,353",3,"255,555","801,967",3.14
2013,May,"133,597","395,862",3,"134,052","396,536",3,"267,648","792,398",2.96
2013,June,"142,047","432,995",3,"145,746","443,547",3,"287,793","876,542",3.05
2013,July,"152,237","447,404",3,"156,898","460,393",3,"309,135","907,796",2.94
2013,August,"150,075","442,210",3,"154,233","453,682",3,"304,308","895,892",2.94
2013,September,"130,103","382,627",3,"133,045","390,585",3,"263,148","773,212",2.94
2013,October,"135,604","405,538",3,"129,793","387,449",3,"265,397","792,987",2.99
2013,November,"127,470","391,914",3,"113,337","347,913",3,"240,807","739,827",3.07
2013,December,"132,450","404,726",3,"123,376","376,398",3,"255,826","781,124",3.05
2013 Total,,"1,603,539","4,906,523",3,"1,562,917","4,768,337",3,"3,166,457","9,674,860",3.06
% Chg over 2012,,4.02%,-2.12%,-5.90%,1.42%,-4.84%,-6.17%,2.72%,-3.48%,-6.03%
2014,January,"120,733","361,896",3,"121,399","363,245",3,"242,132","725,140",2.99
2014,February,"110,269","328,674",3,"106,937","318,134",3,"217,206","646,808",2.98
2014,March,"142,210","430,394",3,"128,685","388,856",3,"270,895","819,250",3.02
2014,April,"136,068","394,347",3,"126,720","366,688",3,"262,788","761,035",2.9
2014,May,"140,530","411,440",3,"137,150","400,923",3,"277,679","812,362",2.93
2014,June,"147,181","424,818",3,"151,835","437,487",3,"299,017","862,305",2.88
2014,July,"153,827","443,361",3,"158,479","456,037",3,"312,306","899,399",2.88
2014,August,"154,681","452,198",3,"159,573","465,729",3,"314,254","917,927",2.92
2014,September,"136,202","384,800",3,"143,016","403,362",3,"279,218","788,162",2.82
2014,October,"143,021","385,358",3,"135,131","363,392",3,"278,152","748,750",2.69
