Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"515,012",,"515,012"
2002,11,"484,631",,"484,631"
2002,12,"527,133","5,540","532,674"
2002,TOTAL,"5,661,889","5,540","5,667,430"
2003,1,"527,654","16,621","544,275"
2003,2,"478,784","14,774","493,558"
2003,3,"511,872","15,215","527,087"
2003,4,"544,189","14,418","558,608"
2003,5,"538,189","14,639","552,828"
2003,6,"546,671","13,893","560,565"
2003,7,"571,308","11,015","582,323"
2003,8,"573,395","11,676","585,071"
2003,9,"547,585","7,618","555,203"
2003,10,"574,122","7,490","581,613"
2003,11,"550,594","17,292","567,886"
2003,12,"628,707","29,759","658,466"
2003,TOTAL,"6,593,071","174,412","6,767,483"
2004,1,"611,765","29,294","641,060"
2004,2,"568,787","27,773","596,560"
2004,3,"646,270","31,131","677,401"
2004,4,"626,375","29,184","655,559"
2004,5,"697,338","30,921","728,259"
2004,6,"735,743","29,293","765,035"
2004,7,"804,824","32,325","837,149"
2004,8,"768,506","21,854","790,360"
2004,9,"676,625","13,865","690,491"
2004,10,"677,581","28,263","705,844"
2004,11,"643,057","49,649","692,706"
2004,12,"703,101","66,103","769,204"
2004,TOTAL,"8,159,973","389,654","8,549,628"
2005,1,"670,111","65,778","735,889"
2005,2,"583,950","56,859","640,809"
2005,3,"711,760","68,772","780,531"
2005,4,"638,742","59,971","698,714"
2005,5,"708,407","54,236","762,643"
2005,6,"722,616","49,556","772,172"
2005,7,"808,465","39,269","847,734"
2005,8,"777,427","24,895","802,322"
2005,9,"717,929","33,832","751,761"
2005,10,"741,655","23,715","765,370"
2005,11,"709,288","28,986","738,274"
2005,12,"762,769","68,226","830,996"
2005,TOTAL,"8,553,120","574,095","9,127,215"
2006,1,"754,783","71,138","825,921"
2006,2,"677,918","64,985","742,903"
2006,3,"769,673","90,538","860,210"
2006,4,"753,153","81,410","834,564"
2006,5,"842,783","66,469","909,252"
2006,6,"843,378","65,836","909,213"
2006,7,"891,878","55,275","947,153"
2006,8,"899,128","33,758","932,886"
2006,9,"842,170","25,229","867,399"
2006,10,"843,254","30,627","873,881"
2006,11,"833,318","54,176","887,494"
2006,12,"745,157","99,195","844,352"
2006,TOTAL,"9,696,592","738,635","10,435,227"
2007,1,"863,900","115,815","979,715"
2007,2,"787,967","105,709","893,675"
2007,3,"919,892","151,028","1,070,921"
2007,4,"900,032","122,721","1,022,753"
2007,5,"978,460","112,283","1,090,743"
2007,6,"963,121","119,026","1,082,147"
2007,7,"1,054,692","88,599","1,143,291"
2007,8,"1,029,055","73,352","1,102,406"
2007,9,"938,765","60,552","999,318"
2007,10,"964,184","62,475","1,026,659"
2007,11,"923,714","88,234","1,011,948"
2007,12,"949,864","151,005","1,100,869"
2007,TOTAL,"11,273,644","1,250,800","12,524,445"
2008,1,"915,890","126,148","1,042,038"
2008,2,"847,011","112,561","959,572"
2008,3,"971,705","148,810","1,120,515"
2008,4,"943,643","102,960","1,046,602"
2008,5,"997,988","85,006","1,082,994"
2008,6,"989,730","76,194","1,065,924"
2008,7,"1,081,052","44,213","1,125,265"
2008,8,"1,043,086","36,386","1,079,473"
2008,9,"843,956","20,543","864,499"
2008,10,"845,843","29,559","875,402"
2008,11,"804,789","54,816","859,605"
2008,12,"831,625","80,928","912,552"
2008,TOTAL,"11,116,318","918,123","12,034,441"
2009,1,"813,782","90,490","904,272"
2009,2,"731,591","79,172","810,763"
2009,3,"810,879","87,515","898,394"
2009,4,"796,590","80,369","876,959"
2009,5,"882,510","48,555","931,065"
2009,6,"882,514","36,014","918,528"
2009,7,"901,978","37,133","939,112"
2009,8,"898,192","35,838","934,030"
2009,9,"843,258","16,350","859,608"
2009,10,"849,912","29,568","879,480"
2009,11,"742,380","50,139","792,520"
2009,12,"720,540","72,691","793,231"
2009,TOTAL,"9,874,126","663,835","10,537,961"
2010,1,"711,683","94,860","806,544"
2010,2,"672,930","83,957","756,887"
2010,3,"850,474","89,578","940,052"
2010,4,"861,685","77,765","939,450"
2010,5,"925,384","40,228","965,611"
2010,6,"954,437","38,775","993,212"
2010,7,"985,329","44,928","1,030,257"
2010,8,"970,291","36,328","1,006,619"
2010,9,"890,737","20,769","911,506"
2010,10,"866,669","31,053","897,722"
2010,11,"814,513","51,237","865,750"
2010,12,"831,540","78,796","910,336"
2010,TOTAL,"10,335,671","688,273","11,023,944"
2011,1,"800,333","106,383","906,716"
2011,2,"746,336","93,570","839,906"
2011,3,"884,781","108,269","993,050"
2011,4,"842,180","98,158","940,338"
2011,5,"952,646","42,821","995,467"
2011,6,"1,002,132","39,936","1,042,069"
2011,7,"1,034,257","44,757","1,079,014"
2011,8,"1,071,044","34,174","1,105,218"
2011,9,"964,647","18,995","983,642"
2011,10,"946,860","27,165","974,024"
2011,11,"905,401","47,662","953,063"
2011,12,"938,392","72,423","1,010,814"
2011,TOTAL,"11,089,009","734,313","11,823,322"
2012,1,"850,500","72,526","923,026"
2012,2,"777,147","106,700","883,846"
2012,3,"886,583","129,128","1,015,711"
2012,4,"824,554","77,128","901,681"
2012,5,"892,977","36,299","929,276"
2012,6,"940,024","40,970","980,995"
2012,7,"980,715","41,012","1,021,727"
2012,8,"953,784","28,392","982,175"
2012,9,"831,959","20,406","852,364"
2012,10,"858,663","23,551","882,214"
2012,11,"823,067","59,736","882,803"
2012,12,"841,976","68,172","910,148"
2012,TOTAL,"10,461,948","704,019","11,165,967"
2013,1,"748,400","71,809","820,209"
2013,2,"653,127","71,017","724,144"
2013,3,"724,692","82,616","807,308"
2013,4,"720,623","61,592","782,215"
2013,5,"815,831","37,612","853,442"
2013,6,"820,734","44,500","865,234"
2013,7,"859,115","49,625","908,740"
2013,8,"864,280","34,424","898,704"
2013,9,"805,641","20,432","826,072"
2013,10,"796,241","28,256","824,498"
2013,11,"779,279","44,568","823,847"
2013,12,"824,401","65,505","889,905"
2013,TOTAL,"9,412,362","611,956","10,024,318"
2014,1,"773,876","84,495","858,371"
2014,2,"654,275","76,686","730,961"
2014,3,"753,935","89,921","843,855"
