Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,January,"11,819","37,940",3.21,581,"2,120",4,"12,400","40,061",3.23
2012,February,"11,108","38,139",3.43,858,"3,241",4,"11,966","41,380",3.46
2012,March,"12,498","42,958",3.44,"1,002","3,859",4,"13,500","46,817",3.47
2012,April,"12,017","40,997",3.41,786,"3,093",4,"12,803","44,090",3.44
2012,May,"12,589","40,452",3.21,494,"1,860",4,"13,083","42,312",3.23
2012,June,"13,567","41,155",3.03,623,"2,171",3,"14,190","43,326",3.05
2012,July,"14,082","44,780",3.18,585,"2,103",4,"14,667","46,883",3.2
2012,August,"13,490","44,111",3.27,409,"1,567",4,"13,899","45,677",3.29
2012,September,"11,539","39,745",3.44,232,918,4,"11,770","40,663",3.45
2012,October,"11,458","36,868",3.22,894,"3,006",3,"12,351","39,875",3.23
2012,November,"10,754","32,687",3.04,"1,165","3,667",3,"11,919","36,354",3.05
2012,December,"11,186","33,755",3.02,"1,454","4,538",3,"12,640","38,293",3.03
2012 Total,,"146,105","473,588",3.24,"9,084","32,143",4,"155,189","505,732",3.26
% Chg over 2011,,-22.92%,-20.18%,3.56%,144.19%,141.28%,-1.19%,-19.71%,-16.64%,3.83%
2013,January,"9,958","30,933",3.11,"1,875","6,100",3,"11,833","37,033",3.13
2013,February,"8,676","28,443",3.28,"2,042","6,966",3,"10,718","35,409",3.3
2013,March,"9,630","29,401",3.05,"2,402","7,718",3,"12,033","37,119",3.08
2013,April,"9,634","28,410",2.95,"1,861","5,714",3,"11,495","34,125",2.97
2013,May,"10,872","30,257",2.78,"1,353","3,945",3,"12,226","34,202",2.8
2013,June,"11,039","31,165",2.82,"1,655","4,904",3,"12,694","36,069",2.84
2013,July,"11,671","33,762",2.89,"1,664","5,042",3,"13,335","38,803",2.91
2013,August,"11,756","35,090",2.98,"1,228","3,801",3,"12,984","38,891",3
2013,September,"10,955","33,176",3.03,818,"2,565",3,"11,774","35,741",3.04
2013,October,"10,754","31,856",2.96,853,"2,603",3,"11,607","34,458",2.97
2013,November,"10,505","30,618",2.91,"1,152","3,463",3,"11,657","34,081",2.92
2013,December,"11,046","33,206",3.01,"1,470","4,595",3,"12,516","37,802",3.02
2013 Total,,"126,498","376,319",2.97,"18,373","57,416",3,"144,870","433,734",2.99
% Chg over 2012,,-13.42%,-20.54%,-8.22%,102.26%,78.62%,-11.69%,-6.65%,-14.24%,-8.13%
2014,January,"9,660","28,806",2.98,"2,047","6,358",3,"11,707","35,164",3
2014,February,"8,822","26,584",3.01,"2,206","6,933",3,"11,028","33,517",3.04
2014,March,"10,142","33,035",3.26,"2,622","8,986",3,"12,764","42,020",3.29
2014,April,"9,954","31,582",3.17,"2,134","7,109",3,"12,088","38,691",3.2
2014,May,"12,253","39,508",3.22,"1,343","4,524",3,"13,596","44,032",3.24
2014,June,"13,182","41,936",3.18,"1,527","5,116",3,"14,710","47,053",3.2
2014,July,"14,117","44,395",3.14,"1,589","5,299",3,"15,706","49,694",3.16
2014,August,"13,971","44,178",3.16,"1,157","3,747",3,"15,128","47,924",3.17
2014,September,"13,442","41,682",3.1,741,"2,333",3,"14,183","44,015",3.1
2014,October,"13,726","39,233",2.86,787,"2,430",3,"14,513","41,662",2.87
2014,November,"13,274","35,513",2.68,"1,071","3,052",3,"14,345","38,565",2.69
2014,December,"13,719","31,405",2.29,"1,362","3,273",2,"15,081","34,677",2.3
2014 Total,,"146,262","437,856",2.99,"18,588","59,159",3,"164,850","497,015",3.01
% Chg over 2013,,15.62%,16.35%,0.63%,1.17%,3.04%,1.84%,13.79%,14.59%,0.70%
2015,January,"12,670","23,284",1.84,"2,301","4,586",2,"14,970","27,869",1.86
2015,February,"10,984","20,408",1.86,"2,380","4,790",2,"13,364","25,198",1.89
2015,March,"13,013","25,755",1.98,"2,352","4,969",2,"15,365","30,723",2
2015,April,"13,356","25,109",1.88,"1,871","3,906",2,"15,227","29,015",1.91
2015,May,"15,656","32,427",2.07,"1,165","2,616",2,"16,822","35,043",2.08
2015,June,"15,388","28,792",1.87,"1,339","2,658",2,"16,728","31,450",1.88
2015,July,"15,843","29,840",1.88,"1,319","2,732",2,"17,161","32,571",1.9
2015,August,"15,868","27,126",1.71,"1,022","1,916",2,"16,890","29,042",1.72
2015,September,"15,287","21,436",1.4,716,"1,109",2,"16,003","22,545",1.41
2015,October,"15,993","22,533",1.41,944,"1,476",2,"16,936","24,009",1.42
2015,November,"15,795","21,883",1.39,"1,616","2,480",2,"17,411","24,363",1.4
2015,December,"16,379","19,684",1.2,"1,670","2,250",1,"18,049","21,934",1.22
2015 Total,,"176,232","298,277",1.69,"18,695","35,487",2,"194,927","333,764",1.71
% Chg over 2014,,20.49%,-31.88%,-43.46%,0.58%,-40.01%,-40.36%,18.25%,-32.85%,-43.21%
2016,January,"14,496","14,533",1,"1,659","1,913",1,"16,156","16,446",1.02
2016,February,"13,692","13,115",0.96,"1,549","1,822",1,"15,241","14,937",0.98
2016,March,"14,743","15,587",1.06,"1,673","2,068",1,"16,417","17,655",1.08
2016,April,"14,788","16,496",1.12,"1,283","2,276",2,"16,071","18,772",1.17
