Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"311,440",,"311,440"
2002,11,"295,688",,"295,688"
2002,12,"386,895","1,965","388,860"
2002,TOTAL,"3,732,352","2,749","3,735,101"
2003,1,"308,392","4,220","312,612"
2003,2,"244,482","2,331","246,813"
2003,3,"368,087","12,744","380,831"
2003,4,"359,112","6,611","365,723"
2003,5,"389,827","7,495","397,322"
2003,6,"453,662","7,625","461,287"
2003,7,"509,599","5,620","515,219"
2003,8,"501,375","5,411","506,786"
2003,9,"430,480","2,502","432,982"
2003,10,"472,005","3,827","475,832"
2003,11,"439,005","9,089","448,094"
2003,12,"502,534","15,722","518,256"
2003,TOTAL,"4,978,560","83,197","5,061,757"
2004,1,"444,096","17,054","461,150"
2004,2,"418,894","14,530","433,424"
2004,3,"521,802","20,006","541,808"
2004,4,"469,714","17,416","487,130"
2004,5,"476,039","18,035","494,074"
2004,6,"582,611","17,518","600,129"
2004,7,"664,275","17,440","681,715"
2004,8,"586,969","10,807","597,776"
2004,9,"461,020","6,370","467,390"
2004,10,"534,932","15,942","550,874"
2004,11,"496,985","25,191","522,176"
2004,12,"537,215","31,800","569,015"
2004,TOTAL,"6,194,552","212,109","6,406,661"
2005,1,"483,770","34,832","518,602"
2005,2,"465,303","32,104","497,407"
2005,3,"469,904","32,104","502,008"
2005,4,"539,759","30,091","569,850"
2005,5,"598,322","30,259","628,581"
2005,6,"659,042","29,928","688,970"
2005,7,"736,958","19,593","756,551"
2005,8,"672,762","10,975","683,737"
2005,9,"571,834","14,248","586,082"
2005,10,"607,610","12,719","620,329"
2005,11,"593,548","15,211","608,759"
2005,12,"612,863","31,589","644,452"
2005,TOTAL,"7,011,675","293,653","7,305,328"
2006,1,"569,595","34,461","604,056"
2006,2,"569,584","35,067","604,651"
2006,3,"717,595","53,870","771,465"
2006,4,"696,162","42,197","738,359"
2006,5,"768,147","38,654","806,801"
2006,6,"815,649","42,612","858,261"
2006,7,"885,121","30,667","915,788"
2006,8,"820,329","16,386","836,715"
2006,9,"663,360","12,467","675,827"
2006,10,"723,730","18,170","741,900"
2006,11,"674,932","28,137","703,069"
2006,12,"586,281","52,723","639,004"
2006,TOTAL,"8,490,485","405,411","8,895,896"
2007,1,"620,546","57,526","678,072"
2007,2,"625,292","53,120","678,412"
2007,3,"791,337","73,077","864,414"
2007,4,"762,592","61,174","823,766"
2007,5,"852,204","59,777","911,981"
2007,6,"914,914","69,306","984,220"
2007,7,"1,013,939","50,261","1,064,200"
2007,8,"970,334","41,457","1,011,791"
2007,9,"789,749","31,382","821,131"
2007,10,"846,705","32,046","878,751"
2007,11,"784,923","47,206","832,129"
2007,12,"734,558","73,249","807,807"
2007,TOTAL,"9,707,093","649,581","10,356,674"
2008,1,"695,096","67,788","762,884"
2008,2,"699,987","60,829","760,816"
2008,3,"869,495","83,586","953,081"
2008,4,"821,973","56,864","878,837"
2008,5,"900,492","48,296","948,788"
2008,6,"959,952","42,376","1,002,328"
2008,7,"1,049,121","24,503","1,073,624"
2008,8,"991,946","20,156","1,012,102"
2008,9,"786,982","11,997","798,979"
2008,10,"812,821","15,992","828,813"
2008,11,"725,568","30,659","756,227"
2008,12,"757,262","43,347","800,609"
2008,TOTAL,"10,070,695","506,393","10,577,088"
2009,1,"650,663","45,782","696,445"
2009,2,"621,662","43,268","664,930"
2009,3,"751,134","46,865","797,999"
2009,4,"732,015","39,123","771,138"
2009,5,"814,101","18,266","832,367"
2009,6,"877,589","17,409","894,998"
2009,7,"943,212","17,937","961,149"
2009,8,"899,903","16,067","915,970"
2009,9,"769,951","8,605","778,556"
2009,10,"762,088","15,502","777,590"
2009,11,"624,777","27,769","652,546"
2009,12,"608,624","38,067","646,691"
2009,TOTAL,"9,055,719","334,660","9,390,379"
2010,1,"525,037","47,627","572,664"
2010,2,"528,045","46,306","574,351"
2010,3,"754,810","52,647","807,457"
