Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"287,722",,"287,722"
2002,11,"260,056",,"260,056"
2002,12,"341,794","3,049","344,843"
2002,TOTAL,"3,370,041","3,049","3,373,090"
2003,1,"278,466","6,383","284,849"
2003,2,"273,204","6,788","279,991"
2003,3,"337,016","8,942","345,958"
2003,4,"329,337","10,436","339,773"
2003,5,"347,407","11,798","359,205"
2003,6,"410,939","12,079","423,018"
2003,7,"456,048","9,380","465,428"
2003,8,"455,077","9,028","464,104"
2003,9,"379,807","4,186","383,993"
2003,10,"416,938","6,384","423,322"
2003,11,"397,649","13,306","410,955"
2003,12,"462,721","22,714","485,434"
2003,TOTAL,"4,544,608","121,423","4,666,031"
2004,1,"405,401","24,433","429,834"
2004,2,"380,325","26,619","406,944"
2004,3,"487,783","29,017","516,800"
2004,4,"449,707","25,545","475,252"
2004,5,"461,005","26,306","487,310"
2004,6,"577,903","25,555","603,458"
2004,7,"657,331","25,146","682,477"
2004,8,"582,198","16,324","598,523"
2004,9,"448,081","9,926","458,007"
2004,10,"517,153","23,395","540,548"
2004,11,"482,863","35,497","518,360"
2004,12,"523,121","44,493","567,615"
2004,TOTAL,"5,972,872","312,255","6,285,127"
2005,1,"471,876","48,394","520,270"
2005,2,"446,552","44,458","491,009"
2005,3,"593,466","55,450","648,916"
2005,4,"518,575","46,789","565,364"
2005,5,"574,454","41,115","615,569"
2005,6,"626,289","42,182","668,471"
2005,7,"704,201","27,591","731,792"
2005,8,"640,680","15,742","656,422"
2005,9,"543,058","21,292","564,350"
2005,10,"562,666","17,982","580,648"
2005,11,"554,120","20,831","574,951"
2005,12,"574,110","45,456","619,566"
2005,TOTAL,"6,810,047","427,281","7,237,329"
2006,1,"523,474","48,945","572,420"
2006,2,"521,334","49,743","571,077"
2006,3,"662,315","75,874","738,189"
2006,4,"647,574","60,825","708,398"
2006,5,"704,466","55,565","760,032"
2006,6,"748,290","60,989","809,279"
2006,7,"802,272","43,254","845,526"
2006,8,"750,353","23,937","774,289"
2006,9,"595,981","17,812","613,793"
2006,10,"644,006","26,448","670,454"
