Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"544,327","6,803","551,130"
2002,11,"545,577","6,858","552,435"
2002,12,"582,441","8,408","590,849"
2002,TOTAL,"6,109,230","88,589","6,197,819"
2003,1,"555,366","6,803","562,169"
2003,2,"492,364","6,011","498,375"
2003,3,"549,996","10,052","560,047"
2003,4,"543,433","5,738","549,171"
2003,5,"554,340","5,607","559,948"
2003,6,"593,308","7,131","600,439"
2003,7,"625,888","8,594","634,482"
2003,8,"643,482","9,762","653,245"
2003,9,"548,139","5,010","553,148"
2003,10,"559,137","6,426","565,563"
2003,11,"566,470","6,945","573,415"
2003,12,"608,454","5,738","614,192"
2003,TOTAL,"6,840,375","83,819","6,924,195"
2004,1,"571,821","5,700","577,521"
2004,2,"526,266","7,114","533,380"
2004,3,"605,902","5,711","611,614"
2004,4,"575,781","5,569","581,351"
2004,5,"543,246","28,459","571,705"
2004,6,"550,712","51,211","601,923"
2004,7,"595,402","53,886","649,288"
2004,8,"594,286","53,886","648,172"
2004,9,"519,238","52,455","571,693"
2004,10,"523,713","55,310","579,023"
2004,11,"538,697","49,968","588,665"
2004,12,"563,643","53,240","616,882"
2004,TOTAL,"6,708,707","422,509","7,131,216"
2005,1,"551,817","67,884","619,701"
2005,2,"511,313","47,746","559,059"
2005,3,"542,360","53,218","595,578"
2005,4,"556,803","50,322","607,125"
2005,5,"586,435","53,111","639,546"
2005,6,"596,183","51,305","647,488"
2005,7,"630,823","53,652","684,475"
2005,8,"631,339","51,852","683,191"
2005,9,"576,793","51,598","628,391"
2005,10,"582,748","52,241","634,989"
2005,11,"569,389","48,587","617,976"
2005,12,"607,061","54,582","661,643"
2005,TOTAL,"6,943,063","636,099","7,579,162"
2006,1,"593,016","53,532","646,548"
2006,2,"526,896","47,690","574,586"
2006,3,"581,798","53,643","635,440"
2006,4,"570,189","51,654","621,842"
2006,5,"586,900","51,781","638,680"
2006,6,"605,218","43,729","648,946"
2006,7,"643,849","41,336","685,185"
2006,8,"641,060","41,041","682,101"
2006,9,"608,353","39,712","648,064"
2006,10,"642,230","41,191","683,421"
2006,11,"662,487","39,921","702,409"
2006,12,"697,395","42,364","739,760"
2006,TOTAL,"7,359,390","547,594","7,906,984"
2007,1,"687,886","39,865","727,751"
2007,2,"611,392","37,421","648,813"
2007,3,"703,173","41,380","744,554"
2007,4,"703,213","39,859","743,072"
2007,5,"725,054","40,822","765,875"
2007,6,"725,794","40,081","765,875"
2007,7,"778,104","41,430","819,534"
2007,8,"760,712","41,457","802,168"
2007,9,"706,661","41,158","747,819"
2007,10,"733,501","39,861","773,362"
2007,11,"711,942","39,633","751,575"
2007,12,"733,804","41,311","775,115"
2007,TOTAL,"8,581,234","484,278","9,065,512"
2008,1,"732,044","41,393","773,437"
2008,2,"682,658","38,701","721,359"
2008,3,"732,283","41,472","773,755"
2008,4,"715,045","63,181","778,226"
2008,5,"721,788","89,433","811,221"
2008,6,"715,691","84,839","800,530"
2008,7,"765,009","92,613","857,622"
2008,8,"762,747","87,920","850,667"
2008,9,"658,598","86,532","745,130"
2008,10,"682,848","88,096","770,945"
2008,11,"700,921","89,735","790,655"
2008,12,"727,276","89,360","816,636"
2008,TOTAL,"8,596,909","893,274","9,490,183"
2009,1,"736,255","89,271","825,526"
2009,2,"656,512","81,803","738,315"
2009,3,"736,092","88,779","824,871"
2009,4,"702,602","86,439","789,041"
2009,5,"728,376","89,301","817,676"
2009,6,"737,653","86,598","824,251"
2009,7,"784,377","88,613","872,991"
2009,8,"768,182","90,699","858,881"
2009,9,"684,809","85,345","770,154"
2009,10,"703,686","90,624","794,311"
2009,11,"674,515","87,017","761,531"
2009,12,"729,779","87,253","817,032"
2009,TOTAL,"8,642,837","1,051,742","9,694,579"
2010,1,"712,784","91,092","803,876"
2010,2,"626,767","81,272","708,039"
2010,3,"693,737","88,933","782,670"
2010,4,"694,352","86,621","780,973"
2010,5,"721,734","89,590","811,324"
2010,6,"784,799","84,360","869,159"
2010,7,"868,950","88,424","957,374"
2010,8,"860,986","89,910","950,896"
2010,9,"725,517","87,260","812,777"
2010,10,"745,490","97,289","842,779"
2010,11,"718,054","121,506","839,560"
2010,12,"803,285","163,191","966,477"
2010,TOTAL,"8,956,455","1,169,449","10,125,903"
2011,1,"767,523","189,414","956,937"
2011,2,"678,388","189,114","867,502"
2011,3,"751,507","204,001","955,507"
2011,4,"721,229","225,372","946,601"
2011,5,"780,685","241,371","1,022,055"
2011,6,"779,344","230,827","1,010,171"
2011,7,"799,900","286,721","1,086,621"
2011,8,"792,191","290,960","1,083,151"
2011,9,"708,055","282,632","990,688"
2011,10,"717,560","293,920","1,011,481"
2011,11,"729,565","280,674","1,010,239"
2011,12,"767,235","304,072","1,071,307"
2011,TOTAL,"8,993,182","3,019,078","12,012,260"
2012,1,"747,447","319,090","1,066,537"
2012,2,"690,141","291,701","981,842"
2012,3,"773,679","315,731","1,089,410"
2012,4,"720,328","351,341","1,071,669"
2012,5,"755,418","409,206","1,164,624"
2012,6,"853,218","389,858","1,243,076"
2012,7,"952,929","423,142","1,376,071"
2012,8,"937,392","436,487","1,373,879"
2012,9,"876,745","422,209","1,298,954"
2012,10,"899,435","438,704","1,338,139"
2012,11,"841,439","453,188","1,294,627"
2012,12,"863,792","505,369","1,369,161"
2012,TOTAL,"9,911,965","4,756,024","14,667,989"
2013,1,"827,559","500,848","1,328,407"
2013,2,"773,946","452,388","1,226,334"
2013,3,"865,353","547,000","1,412,353"
2013,4,"794,982","559,794","1,354,776"
2013,5,"846,607","579,794","1,426,401"
2013,6,"921,591","518,326","1,439,917"
2013,7,"979,986","555,566","1,535,552"
2013,8,"951,143","526,677","1,477,820"
2013,9,"847,857","549,349","1,397,207"
2013,10,"847,620","573,364","1,420,985"
2013,11,"848,714","513,539","1,362,253"
2013,12,"901,878","538,533","1,440,411"
2013,TOTAL,"10,407,235","6,415,180","16,822,415"
2014,1,"876,272","523,135","1,399,407"
2014,2,"783,863","470,617","1,254,479"
2014,3,"862,841","520,739","1,383,580"
2014,4,"836,229","501,400","1,337,628"
2014,5,"922,921","526,939","1,449,860"
2014,6,"973,481","498,978","1,472,460"
2014,7,"1,104,972","445,548","1,550,521"
2014,8,"1,093,352","452,463","1,545,815"
2014,9,"967,438","431,064","1,398,503"
2014,10,"950,416","444,260","1,394,677"
2014,11,"950,383","435,820","1,386,202"
2014,12,"1,032,593","447,258","1,479,851"
2014,TOTAL,"11,354,762","5,698,222","17,052,983"
2015,1,"1,013,585","460,027","1,473,613"
2015,2,"894,791","408,890","1,303,681"
2015,3,"988,033","450,687","1,438,720"
2015,4,"957,236","441,890","1,399,126"
2015,5,"1,038,232","456,041","1,494,272"
2015,6,"1,099,089","433,678","1,532,767"
2015,7,"1,159,716","450,075","1,609,791"
2015,8,"1,151,468","461,107","1,612,575"
2015,9,"1,000,812","433,680","1,434,492"
2015,10,"1,007,259","457,723","1,464,982"
2015,11,"973,591","435,493","1,409,084"
2015,12,"1,048,947","453,945","1,502,893"
2015,TOTAL,"12,332,759","5,343,236","17,675,995"
2016,1,"1,045,989","452,945","1,498,934"
2016,2,"972,080","403,859","1,375,938"
2016,3,"1,045,733","439,832","1,485,565"
2016,4,"1,006,402","440,066","1,446,468"
2016,5,"1,050,728","451,840","1,502,569"
2016,6,"1,158,172","435,461","1,593,633"
2016,7,"1,205,945","472,649","1,678,593"
2016,8,"1,176,974","517,938","1,694,912"
2016,9,"998,587","505,731","1,504,319"
2016,10,"1,007,574","511,940","1,519,514"
2016,11,"968,149","483,248","1,451,397"
2016,12,"1,052,222","532,364","1,584,586"
2016,TOTAL,"12,688,555","5,647,873","18,336,428"
2017,1,"1,013,086","572,610","1,585,696"
2017,2,"878,848","497,072","1,375,920"
2017,3,"987,550","564,493","1,552,043"
2017,4,"968,436","546,471","1,514,907"
2017,5,"1,027,658","549,709","1,577,367"
2017,6,"1,094,668","540,284","1,634,952"
2017,7,"1,132,881","555,097","1,687,978"
2017,8,"1,128,644","548,772","1,677,416"
2017,9,"1,033,729","539,499","1,573,228"
2017,10,"1,050,104","552,088","1,602,192"
2017,11,"1,005,578","535,840","1,541,418"
2017,12,"1,083,224","556,241","1,639,465"
2017,TOTAL,"12,404,405","6,558,177","18,962,582"
2018,1,"1,081,746","548,648","1,630,393"
2018,2,"957,063","486,667","1,443,730"
2018,3,"1,092,528","564,015","1,656,543"
2018,4,"1,070,235","555,229","1,625,464"
2018,5,"1,123,201","556,878","1,680,078"
2018,6,"1,152,259","553,586","1,705,845"
2018,7,"1,202,730","570,465","1,773,196"
2018,8,"1,215,022","627,750","1,842,772"
2018,9,"1,121,125","602,285","1,723,410"
2018,10,"1,154,628","548,734","1,703,362"
2018,11,"1,106,054","510,749","1,616,803"
2018,12,"1,183,070","548,840","1,731,911"
2018,TOTAL,"13,459,661","6,673,847","20,133,508"
2019,1,"1,142,603","554,430","1,697,033"
2019,2,"1,009,530","474,014","1,483,545"
2019,3,"1,128,694","533,639","1,662,333"
2019,4,"1,180,648","507,458","1,688,106"
2019,5,"1,229,519","516,506","1,746,025"
2019,6,"1,201,476","509,223","1,710,699"
2019,7,"1,234,979","539,450","1,774,429"
2019,8,"1,224,819","580,292","1,805,110"
2019,9,"1,150,217","583,944","1,734,161"
2019,10,"1,206,628","528,942","1,735,570"
2019,11,"1,179,666","495,445","1,675,111"
2019,12,"1,256,983","567,436","1,824,419"
2019,TOTAL,"14,145,762","6,390,779","20,536,541"
2020,1,"1,249,976","574,508","1,824,484"
2020,2,"1,178,362","502,674","1,681,036"
2020,3,"1,073,948","388,267","1,462,215"
2020,4,"100,505",0,"100,505"
2020,5,"151,057",0,"151,057"
2020,6,"155,362",0,"155,362"
2020,7,"232,713",0,"232,713"
2020,8,"257,119",0,"257,119"
2020,9,"217,648",0,"217,648"
2020,10,"248,528","10,617","259,145"
2020,11,"442,323","15,285","457,608"
2020,12,"650,689","61,285","711,974"
2020,TOTAL,"5,958,230","1,552,637","7,510,867"
2021,1,"794,157","88,604","882,761"
2021,2,"670,573","46,958","717,531"
2021,3,"815,760","49,356","865,116"
2021,4,"928,156","63,993","992,149"
2021,5,"1,136,515","58,391","1,194,906"
2021,6,"1,300,582","58,263","1,358,845"
2021,7,"1,360,097","64,414","1,424,511"
2021,8,"1,352,230","79,099","1,431,330"
2021,9,"1,254,715","77,853","1,332,568"
2021,10,"1,288,848","78,704","1,367,552"
2021,11,"1,285,601","75,786","1,361,387"
2021,12,"1,364,054","116,567","1,480,621"
2021,TOTAL,"13,551,288","857,988","14,409,275"
2022,1,"1,321,402","138,338","1,459,739"
