Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,January,"10,323","31,321",3.03,"4,268","13,018",3.05,"14,591","44,338",3.04
2012,February,"9,570","29,909",3.13,"3,922","12,266",3,"13,492","42,175",3.13
2012,March,"10,688","35,352",3.31,"4,353","14,320",3,"15,041","49,672",3.3
2012,April,"10,006","32,960",3.29,"4,598","15,168",3,"14,604","48,128",3.3
2012,May,"10,445","32,692",3.13,"5,405","17,248",3,"15,850","49,940",3.15
2012,June,"11,692","32,804",2.81,"5,175","15,130",3,"16,867","47,935",2.84
2012,July,"12,952","35,755",2.76,"5,566","15,141",3,"18,517","50,896",2.75
2012,August,"12,808","37,984",2.97,"5,803","16,754",3,"18,612","54,738",2.94
2012,September,"11,900","37,789",3.18,"5,506","17,362",3,"17,406","55,152",3.17
2012,October,"12,361","39,583",3.2,"5,701","18,432",3,"18,062","58,015",3.21
2012,November,"11,641","36,095",3.1,"6,066","19,342",3,"17,707","55,437",3.13
2012,December,"12,027","36,441",3.03,"6,687","20,657",3,"18,714","57,098",3.05
2012 Total,,"136,414","418,685",3.07,"63,050","194,838",3,"199,464","613,524",3.08
% Chg over 2011,,10.88%,12.81%,1.74%,53.87%,55.20%,0.87%,21.62%,23.53%,1.57%
2013,January,"11,611","35,477",3.06,"6,627","20,316",3,"18,239","55,792",3.06
2013,February,"10,621","34,245",3.22,"6,006","18,993",3,"16,627","53,238",3.2
2013,March,"11,936","37,428",3.14,"7,133","23,376",3,"19,069","60,804",3.19
2013,April,"10,991","32,881",2.99,"7,308","22,421",3,"18,299","55,302",3.02
2013,May,"11,620","32,972",2.84,"7,504","21,831",3,"19,124","54,803",2.87
2013,June,"12,557","35,374",2.82,"6,645","19,044",3,"19,202","54,418",2.83
2013,July,"13,379","38,859",2.9,"7,322","21,402",3,"20,701","60,261",2.91
2013,August,"12,989","38,830",2.99,"6,910","20,678",3,"19,899","59,508",2.99
2013,September,"11,639","35,568",3.06,"6,995","21,500",3,"18,634","57,069",3.06
2013,October,"11,654","34,803",2.99,"7,167","21,834",3,"18,821","56,636",3.01
2013,November,"11,606","34,342",2.96,"6,698","20,317",3,"18,304","54,659",2.99
2013,December,"12,334","37,430",3.03,"6,961","21,064",3,"19,295","58,494",3.03
2013 Total,,"142,938","428,208",3,"83,276","252,774",3,"226,214","680,982",3.01
% Chg over 2012,,4.78%,2.27%,-2.39%,32.08%,29.74%,-1.77%,13.41%,11.00%,-2.13%
2014,January,"12,129","36,859",3.04,"7,003","21,797",3,"19,132","58,655",3.07
2014,February,"10,984","32,828",2.99,"6,182","18,571",3,"17,166","51,400",2.99
2014,March,"12,035","35,630",2.96,"6,830","20,648",3,"18,865","56,278",2.98
2014,April,"11,506","33,824",2.94,"6,471","19,195",3,"17,976","53,019",2.95
2014,May,"12,537","37,564",3,"6,807","20,267",3,"19,345","57,831",2.99
2014,June,"13,097","38,833",2.97,"6,520","19,319",3,"19,616","58,152",2.96
2014,July,"14,797","43,671",2.95,"5,948","17,795",3,"20,745","61,466",2.96
2014,August,"14,804","43,209",2.92,"5,926","17,446",3,"20,730","60,656",2.93
2014,September,"13,146","37,529",2.85,"5,611","16,257",3,"18,757","53,785",2.87
2014,October,"13,031","34,711",2.66,"5,994","16,812",3,"19,025","51,523",2.71
2014,November,"13,004","32,720",2.52,"5,744","14,921",3,"18,747","47,642",2.54
2014,December,"14,024","31,509",2.25,"6,068","14,950",2,"20,093","46,459",2.31
2014 Total,,"155,094","438,888",2.83,"75,104","217,979",3,"230,198","656,866",2.85
% Chg over 2013,,8.50%,2.49%,-5.54%,-9.81%,-13.77%,-4.38%,1.76%,-3.54%,-5.21%
