Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"406,432","5,315","411,747"
2002,11,"390,912","3,208","394,119"
2002,12,"432,591","5,992","438,584"
2002,TOTAL,"4,747,320","52,372","4,799,692"
2003,1,"381,771","3,716","385,487"
2003,2,"339,979","2,864","342,843"
2003,3,"408,706","5,834","414,540"
2003,4,"430,766","3,167","433,933"
2003,5,"412,165","3,795","415,960"
2003,6,"487,302","5,681","492,983"
2003,7,"554,667","5,804","560,471"
2003,8,"570,438","6,093","576,531"
2003,9,"451,191","2,790","453,981"
2003,10,"475,486","4,816","480,301"
2003,11,"480,730","4,742","485,472"
2003,12,"513,382","4,171","517,554"
2003,TOTAL,"5,506,584","53,473","5,560,057"
2004,1,"461,081","3,819","464,900"
2004,2,"438,673","4,188","442,860"
2004,3,"508,465","3,866","512,330"
2004,4,"490,652","3,082","493,734"
2004,5,"469,834","18,186","488,020"
2004,6,"500,266","36,273","536,539"
2004,7,"544,770","31,120","575,890"
2004,8,"539,563","27,646","567,209"
2004,9,"466,036","38,005","504,041"
2004,10,"472,799","42,575","515,374"
2004,11,"475,476","41,301","516,777"
2004,12,"486,772","36,524","523,295"
2004,TOTAL,"5,854,386","286,586","6,140,971"
2005,1,"468,927","43,805","512,732"
2005,2,"442,071","25,624","467,695"
2005,3,"481,266","33,335","514,602"
2005,4,"486,683","25,405","512,088"
2005,5,"519,532","26,624","546,156"
2005,6,"529,844","29,405","559,248"
2005,7,"578,458","37,878","616,336"
2005,8,"588,740","28,051","616,791"
2005,9,"520,915","41,035","561,950"
2005,10,"532,486","43,140","575,626"
2005,11,"516,676","36,342","553,018"
2005,12,"545,775","44,171","589,946"
2005,TOTAL,"6,211,373","414,814","6,626,187"
2006,1,"523,049","42,295","565,344"
2006,2,"475,497","27,609","503,106"
2006,3,"523,777","31,997","555,775"
2006,4,"505,071","35,350","540,420"
2006,5,"527,133","27,464","554,598"
2006,6,"535,875","28,968","564,843"
2006,7,"583,618","27,938","611,556"
2006,8,"563,264","21,924","585,189"
2006,9,"508,280","31,722","540,002"
2006,10,"561,475","30,040","591,514"
2006,11,"568,167","29,027","597,193"
2006,12,"591,260","31,436","622,696"
2006,TOTAL,"6,466,465","365,770","6,832,236"
2007,1,"579,760","30,990","610,750"
2007,2,"538,775","27,183","565,958"
2007,3,"643,754","34,638","678,392"
2007,4,"622,142","31,012","653,154"
2007,5,"635,535","28,100","663,635"
