Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"780,200",,"780,200"
2002,11,"788,014",,"788,014"
2002,12,"889,420",,"889,420"
2002,TOTAL,"8,227,463",0,"8,227,463"
2003,1,"939,498",,"939,498"
2003,2,"925,097",,"925,097"
2003,3,"1,086,106",,"1,086,106"
2003,4,"1,067,396",,"1,067,396"
2003,5,"1,091,219",,"1,091,219"
2003,6,"1,114,316",,"1,114,316"
2003,7,"1,269,658",,"1,269,658"
2003,8,"1,279,686",,"1,279,686"
2003,9,"1,160,706",,"1,160,706"
2003,10,"1,223,762",,"1,223,762"
2003,11,"1,207,291",,"1,207,291"
2003,12,"1,324,234",,"1,324,234"
2003,TOTAL,"13,688,966",0,"13,688,966"
2004,1,"1,388,096",,"1,388,096"
2004,2,"1,352,910",,"1,352,910"
2004,3,"1,485,763",,"1,485,763"
2004,4,"1,488,126",,"1,488,126"
2004,5,"1,567,319",,"1,567,319"
2004,6,"1,574,350","25,623","1,599,972"
2004,7,"1,666,708","43,514","1,710,222"
2004,8,"1,675,987","43,514","1,719,502"
2004,9,"1,550,795","36,358","1,587,154"
2004,10,"1,653,072","29,248","1,682,321"
2004,11,"1,610,581","38,563","1,649,144"
2004,12,"1,722,826","39,678","1,762,504"
2004,TOTAL,"18,736,534","256,498","18,993,032"
2005,1,"1,721,582","39,849","1,761,431"
2005,2,"1,580,359","35,992","1,616,352"
2005,3,"1,833,367","25,592","1,858,959"
2005,4,"1,842,675","27,944","1,870,619"
2005,5,"1,942,236","25,321","1,967,557"
2005,6,"1,993,658","24,065","2,017,723"
2005,7,"2,147,931","35,467","2,183,398"
2005,8,"2,180,207","35,467","2,215,674"
2005,9,"1,938,673","25,774","1,964,447"
2005,10,"2,014,038","24,755","2,038,793"
2005,11,"2,062,441","29,194","2,091,635"
2005,12,"2,195,717","33,416","2,229,133"
2005,TOTAL,"23,452,885","362,835","23,815,720"
2006,1,"2,141,250","33,074","2,174,324"
2006,2,"1,979,796","40,465","2,020,261"
2006,3,"2,331,015","47,557","2,378,572"
2006,4,"2,319,725","48,759","2,368,484"
2006,5,"2,351,598","47,320","2,398,918"
2006,6,"2,381,619","51,770","2,433,389"
2006,7,"2,562,161","61,180","2,623,341"
2006,8,"2,583,217","64,512","2,647,730"
2006,9,"2,210,292","53,149","2,263,442"
2006,10,"2,299,703","59,693","2,359,396"
2006,11,"2,298,392","60,378","2,358,770"
2006,12,"2,465,731","90,494","2,556,225"
2006,TOTAL,"27,924,499","658,351","28,582,850"
2007,1,"2,457,539","88,355","2,545,894"
2007,2,"2,169,817","78,637","2,248,454"
2007,3,"2,625,061","109,249","2,734,311"
2007,4,"2,655,066","108,006","2,763,072"
2007,5,"2,605,039","98,051","2,703,091"
2007,6,"2,550,250","137,675","2,687,925"
2007,7,"2,705,194","167,362","2,872,556"
2007,8,"2,730,929","177,946","2,908,876"
2007,9,"2,448,427","124,860","2,573,287"
2007,10,"2,507,371","113,511","2,620,882"
2007,11,"2,530,181","146,244","2,676,424"
2007,12,"2,628,105","186,065","2,814,170"
2007,TOTAL,"30,612,980","1,535,961","32,148,941"
2008,1,"2,566,250","183,345","2,749,595"
2008,2,"2,466,324","175,726","2,642,051"
2008,3,"2,792,100","208,705","3,000,805"
2008,4,"2,672,474","198,817","2,871,291"
2008,5,"2,565,381","170,236","2,735,617"
2008,6,"2,591,921","182,004","2,773,925"
2008,7,"2,706,518","224,388","2,930,907"
2008,8,"2,699,953","242,203","2,942,156"
2008,9,"2,111,027","170,672","2,281,698"
2008,10,"2,155,293","175,953","2,331,246"
2008,11,"2,278,104","228,757","2,506,861"
2008,12,"2,398,753","272,342","2,671,095"
2008,TOTAL,"30,004,097","2,433,149","32,437,246"
2009,1,"2,332,383","276,949","2,609,332"
2009,2,"2,196,244","301,047","2,497,291"
2009,3,"2,485,265","348,909","2,834,174"
2009,4,"2,412,475","343,940","2,756,415"
2009,5,"2,371,946","334,496","2,706,442"
2009,6,"2,421,968","350,555","2,772,523"
2009,7,"2,553,519","403,782","2,957,301"
2009,8,"2,550,087","409,180","2,959,267"
2009,9,"2,164,902","309,647","2,474,550"
2009,10,"2,196,245","300,855","2,497,100"
2009,11,"2,284,998","356,149","2,641,147"
2009,12,"2,446,458","401,759","2,848,217"
2009,TOTAL,"28,416,488","4,137,270","32,553,758"
2010,1,"2,447,225","395,592","2,842,818"
2010,2,"2,190,626","373,667","2,564,294"
2010,3,"2,579,991","435,045","3,015,036"
2010,4,"2,499,401","426,355","2,925,756"
2010,5,"2,386,375","442,169","2,828,544"
2010,6,"2,469,688","463,847","2,933,535"
2010,7,"2,647,786","548,694","3,196,480"
2010,8,"2,628,750","545,380","3,174,130"
2010,9,"2,347,516","383,537","2,731,052"
2010,10,"2,455,603","370,128","2,825,731"
2010,11,"2,459,892","364,514","2,824,407"
2010,12,"2,456,855","423,339","2,880,194"
2010,TOTAL,"29,569,709","5,172,267","34,741,976"
2011,1,"2,349,490","418,137","2,767,628"
2011,2,"2,205,895","393,533","2,599,428"
2011,3,"2,665,496","477,092","3,142,588"
2011,4,"2,640,563","494,368","3,134,930"
2011,5,"2,653,693","426,953","3,080,646"
2011,6,"2,750,487","474,980","3,225,467"
2011,7,"2,969,261","596,359","3,565,620"
2011,8,"2,777,796","542,775","3,320,571"
2011,9,"2,528,006","441,066","2,969,072"
2011,10,"2,589,461","420,692","3,010,152"
2011,11,"2,598,967","443,938","3,042,905"
2011,12,"2,811,743","558,819","3,370,562"
2011,TOTAL,"31,540,856","5,688,713","37,229,569"
2012,1,"2,604,143","503,098","3,107,241"
2012,2,"2,519,414","483,901","3,003,315"
2012,3,"2,861,072","562,902","3,423,974"
2012,4,"2,802,979","553,794","3,356,773"
2012,5,"2,743,769","477,758","3,221,527"
2012,6,"2,858,743","522,577","3,381,320"
2012,7,"3,108,904","654,471","3,763,376"
2012,8,"3,098,097","646,843","3,744,940"
2012,9,"2,708,545","488,004","3,196,549"
2012,10,"2,577,079","431,899","3,008,978"
2012,11,"2,761,615","524,425","3,286,040"
2012,12,"2,951,992","625,925","3,577,917"
2012,TOTAL,"33,596,351","6,475,598","40,071,949"
2013,1,"2,826,313","587,427","3,413,740"
2013,2,"2,507,701","536,232","3,043,933"
2013,3,"3,064,366","617,215","3,681,581"
2013,4,"2,963,227","613,578","3,576,805"
2013,5,"2,975,791","536,006","3,511,797"
2013,6,"3,062,748","589,715","3,652,463"
2013,7,"3,275,188","744,777","4,019,965"
2013,8,"3,270,717","745,140","4,015,857"
2013,9,"2,702,374","513,176","3,215,550"
2013,10,"2,830,784","507,159","3,337,943"
2013,11,"2,889,133","562,166","3,451,300"
2013,12,"3,146,579","754,476","3,901,054"
2013,TOTAL,"35,514,920","7,307,068","42,821,987"
2014,1,"2,677,481","687,735","3,365,216"
2014,2,"2,591,248","643,793","3,235,041"
2014,3,"3,096,233","722,190","3,818,424"
2014,4,"3,064,091","721,844","3,785,935"
2014,5,"3,000,297","755,393","3,755,690"
2014,6,"3,050,583","792,921","3,843,504"
2014,7,"3,219,273","942,644","4,161,917"
2014,8,"3,258,957","951,529","4,210,486"
2014,9,"2,722,753","656,961","3,379,713"
2014,10,"2,919,293","673,902","3,593,195"
2014,11,"2,920,974","738,502","3,659,476"
2014,12,"3,276,236","906,674","4,182,910"
2014,TOTAL,"35,797,418","9,194,090","44,991,508"
2015,1,"3,019,807","865,685","3,885,491"
2015,2,"2,754,789","720,032","3,474,821"
2015,3,"3,273,394","785,167","4,058,560"
2015,4,"3,245,610","791,829","4,037,439"
2015,5,"3,306,347","741,990","4,048,337"
2015,6,"3,343,483","810,535","4,154,018"
2015,7,"3,583,974","1,011,929","4,595,903"
2015,8,"3,541,322","1,017,561","4,558,883"
2015,9,"3,097,545","724,492","3,822,037"
2015,10,"3,261,120","766,911","4,028,030"
2015,11,"3,268,653","782,693","4,051,346"
2015,12,"3,554,250","1,024,347","4,578,597"
