Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"4,276",,"4,276"
2002,11,"4,287",,"4,287"
2002,12,"4,776",,"4,776"
2002,TOTAL,"44,113",0,"44,113"
2003,1,"5,006",,"5,006"
2003,2,"4,720",,"4,720"
2003,3,"5,685",,"5,685"
2003,4,"5,601",,"5,601"
2003,5,"5,260",,"5,260"
2003,6,"5,272",,"5,272"
2003,7,"5,841",,"5,841"
2003,8,"5,837",,"5,837"
2003,9,"5,497",,"5,497"
2003,10,"5,846",,"5,846"
2003,11,"5,894",,"5,894"
2003,12,"6,461",,"6,461"
2003,TOTAL,"66,920",0,"66,920"
2004,1,"6,760",,"6,760"
2004,2,"6,719",,"6,719"
2004,3,"7,366",,"7,366"
2004,4,"7,426",,"7,426"
2004,5,"7,334",,"7,334"
2004,6,"7,275",110,"7,385"
2004,7,"7,725",186,"7,911"
2004,8,"7,738",186,"7,924"
2004,9,"6,908",150,"7,058"
2004,10,"7,856",124,"7,980"
2004,11,"7,871",180,"8,051"
2004,12,"8,433",185,"8,618"
2004,TOTAL,"89,411","1,121","90,532"
2005,1,"8,227",180,"8,407"
2005,2,"7,827",168,"7,995"
2005,3,"9,110",125,"9,235"
2005,4,"9,202",140,"9,342"
2005,5,"8,901",127,"9,028"
2005,6,"8,892",120,"9,012"
2005,7,"9,507",184,"9,691"
2005,8,"9,522",186,"9,708"
2005,9,"8,575",130,"8,705"
2005,10,"9,134",123,"9,257"
2005,11,"10,155",150,"10,305"
2005,12,"11,127",174,"11,301"
2005,TOTAL,"110,179","1,807","111,986"
2006,1,"11,024",172,"11,196"
2006,2,"10,372",210,"10,582"
2006,3,"12,387",248,"12,635"
2006,4,"12,535",256,"12,791"
2006,5,"12,014",331,"12,345"
2006,6,"12,188",364,"12,552"
2006,7,"13,819",409,"14,228"
2006,8,"14,321",422,"14,743"
2006,9,"13,021",307,"13,328"
2006,10,"13,928",316,"14,244"
2006,11,"14,302",325,"14,627"
2006,12,"15,394",455,"15,849"
2006,TOTAL,"155,305","3,815","159,120"
2007,1,"15,337",436,"15,773"
2007,2,"13,209",387,"13,596"
2007,3,"16,234",521,"16,755"
2007,4,"16,257",519,"16,776"
2007,5,"15,818",562,"16,380"
2007,6,"15,245",726,"15,971"
2007,7,"16,284",856,"17,140"
2007,8,"16,550",926,"17,476"
2007,9,"15,079",632,"15,711"
2007,10,"15,428",576,"16,004"
2007,11,"16,065",691,"16,756"
2007,12,"16,658",862,"17,520"
2007,TOTAL,"188,164","7,694","195,858"
2008,1,"16,250",843,"17,093"
2008,2,"15,633",805,"16,438"
2008,3,"17,715","1,019","18,734"
2008,4,"17,016","1,006","18,022"
