Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,January,"36,836","116,032",3.15,"6,660","20,977",3,"43,496","137,009",3.15
2012,February,"35,634","115,529",3.24,"6,387","20,707",3,"42,021","136,236",3.24
2012,March,"40,446","134,985",3.34,"7,398","24,691",3,"47,844","159,676",3.34
2012,April,"39,417","133,018",3.37,"7,319","24,700",3,"46,736","157,718",3.37
2012,May,"39,012","127,770",3.28,"6,516","21,340",3,"45,528","149,110",3.28
2012,June,"40,481","121,789",3.01,"7,211","21,694",3,"47,692","143,483",3.01
2012,July,"44,466","134,249",3.02,"8,865","26,765",3,"53,331","161,015",3.02
2012,August,"44,636","142,814",3.2,"8,839","28,282",3,"53,475","171,097",3.2
2012,September,"38,177","126,654",3.32,"6,609","21,925",3,"44,785","148,578",3.32
2012,October,"36,892","120,700",3.27,"6,055","19,809",3,"42,947","140,509",3.27
2012,November,"38,682","122,916",3.18,"7,023","22,316",3,"45,704","145,231",3.18
2012,December,"41,432","130,430",3.15,"8,292","26,104",3,"49,725","156,534",3.15
2012 Total,,"476,111","1,526,885",3.21,"87,174","279,311",3,"563,284","1,806,196",3.21
% Chg over 2011,,-9.28%,-8.22%,1.16%,-,-,-,7.34%,8.57%,1.15%
2013,January,"40,280","130,428",3.24,"7,772","25,167",3,"48,052","155,595",3.24
2013,February,"35,582","120,745",3.39,"7,126","24,182",3,"42,709","144,928",3.39
2013,March,"43,212","140,215",3.24,"8,217","26,662",3,"51,429","166,876",3.24
2013,April,"42,195","132,524",3.14,"8,246","25,898",3,"50,440","158,422",3.14
2013,May,"42,284","127,462",3.01,"7,235","21,809",3,"49,519","149,271",3.01
2013,June,"43,862","132,918",3.03,"8,033","24,342",3,"51,895","157,260",3.03
2013,July,"47,176","145,004",3.07,"10,045","30,874",3,"57,221","175,878",3.07
2013,August,"47,096","148,072",3.14,"9,982","31,385",3,"57,078","179,457",3.14
2013,September,"38,642","123,797",3.2,"6,785","21,737",3,"45,427","145,534",3.2
2013,October,"40,599","125,309",3.09,"6,677","20,610",3,"47,276","145,919",3.09
2013,November,"40,843","125,062",3.06,"7,239","22,165",3,"48,082","147,227",3.06
2013,December,"45,178","141,896",3.14,"9,803","30,788",3,"54,981","172,684",3.14
2013 Total,,"506,949","1,593,429",3.14,"97,160","305,620",3,"604,109","1,899,049",3.14
% Chg over 2012,,6.48%,4.36%,-1.99%,11.46%,9.42%,-1.83%,7.25%,5.14%,-1.96%
2014,January,"39,038","122,373",3.13,"8,959","28,083",3,"47,997","150,456",3.13
2014,February,"37,462","117,903",3.15,"8,309","26,150",3,"45,771","144,052",3.15
2014,March,"44,579","140,134",3.14,"9,291","29,207",3,"53,870","169,341",3.14
2014,April,"44,007","135,586",3.08,"9,272","28,566",3,"53,278","164,152",3.08
2014,May,"43,667","135,519",3.1,"9,547","29,629",3,"53,214","165,148",3.1
2014,June,"44,407","136,742",3.08,"10,137","31,214",3,"54,544","167,957",3.08
