Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"546,693",,"546,693"
2002,11,"542,247",,"542,247"
2002,12,"637,705",,"637,705"
2002,TOTAL,"5,672,028",0,"5,672,028"
2003,1,"644,223",,"644,223"
2003,2,"599,360",,"599,360"
2003,3,"748,790",,"748,790"
2003,4,"744,224",,"744,224"
2003,5,"718,182",,"718,182"
2003,6,"731,323",,"731,323"
2003,7,"852,509",,"852,509"
2003,8,"859,620",,"859,620"
2003,9,"687,314",,"687,314"
2003,10,"777,204",,"777,204"
2003,11,"760,019",,"760,019"
2003,12,"826,976",,"826,976"
2003,TOTAL,"8,949,744",0,"8,949,744"
2004,1,"826,038",,"826,038"
2004,2,"830,896",,"830,896"
2004,3,"975,860",,"975,860"
2004,4,"989,971",,"989,971"
2004,5,"941,571",,"941,571"
2004,6,"967,386","9,485","976,871"
2004,7,"1,066,625","20,546","1,087,171"
2004,8,"1,075,261","22,851","1,098,112"
2004,9,"821,693","15,687","837,380"
2004,10,"1,018,740","10,913","1,029,653"
2004,11,"1,029,342","16,561","1,045,903"
2004,12,"1,072,630","19,475","1,092,105"
2004,TOTAL,"11,616,013","115,518","11,731,531"
2005,1,"1,054,428","20,682","1,075,110"
2005,2,"1,012,385","18,363","1,030,748"
2005,3,"1,263,260","16,801","1,280,061"
2005,4,"1,225,898","18,348","1,244,246"
2005,5,"1,187,346","16,116","1,203,462"
2005,6,"1,219,847","15,098","1,234,945"
2005,7,"1,344,966","24,214","1,369,180"
2005,8,"1,329,343","25,482","1,354,825"
2005,9,"1,034,289","14,439","1,048,728"
2005,10,"1,115,026","13,543","1,128,569"
2005,11,"1,276,870","16,008","1,292,878"
2005,12,"1,399,053","19,013","1,418,066"
2005,TOTAL,"14,462,711","218,107","14,680,818"
2006,1,"1,354,604","19,768","1,374,372"
2006,2,"1,295,512","25,052","1,320,564"
2006,3,"1,592,972","31,949","1,624,921"
2006,4,"1,565,206","33,663","1,598,869"
2006,5,"1,385,668","31,579","1,417,247"
2006,6,"1,459,971","35,390","1,495,361"
2006,7,"1,671,123","43,995","1,715,118"
2006,8,"1,678,379","46,957","1,725,336"
2006,9,"1,294,543","26,500","1,321,043"
2006,10,"1,512,825","32,935","1,545,760"
2006,11,"1,596,680","35,095","1,631,775"
2006,12,"1,690,538","46,099","1,736,637"
2006,TOTAL,"18,098,021","408,982","18,507,003"
2007,1,"1,600,180","45,017","1,645,197"
2007,2,"1,435,522","41,924","1,477,446"
2007,3,"1,867,683","61,996","1,929,679"
2007,4,"1,871,106","61,899","1,933,005"
2007,5,"1,758,736","54,437","1,813,173"
2007,6,"1,745,168","67,628","1,812,796"
2007,7,"1,923,201","91,202","2,014,403"
2007,8,"1,926,750","98,386","2,025,136"
2007,9,"1,432,461","53,175","1,485,636"
2007,10,"1,571,677","52,676","1,624,353"
2007,11,"1,669,047","65,535","1,734,582"
2007,12,"1,726,062","83,254","1,809,316"
2007,TOTAL,"20,527,593","777,129","21,304,722"
2008,1,"1,639,370","87,937","1,727,307"
2008,2,"1,617,653","90,084","1,707,737"
2008,3,"1,943,610","118,446","2,062,056"
2008,4,"1,823,912","107,130","1,931,042"
2008,5,"1,697,095","98,118","1,795,213"
2008,6,"1,782,082","105,413","1,887,495"
2008,7,"1,954,980","136,755","2,091,735"
2008,8,"1,943,559","151,919","2,095,478"
2008,9,"1,348,592","90,281","1,438,873"
2008,10,"1,494,997","102,096","1,597,093"
2008,11,"1,537,056","117,891","1,654,947"
2008,12,"1,696,031","139,396","1,835,427"
2008,TOTAL,"20,478,937","1,345,466","21,824,403"
2009,1,"1,512,870","147,109","1,659,979"
2009,2,"1,468,858","167,247","1,636,105"
2009,3,"1,772,633","198,373","1,971,006"
2009,4,"1,747,015","199,694","1,946,709"
2009,5,"1,646,075","178,229","1,824,304"
2009,6,"1,708,753","192,823","1,901,576"
2009,7,"1,922,565","258,611","2,181,176"
2009,8,"1,919,323","271,441","2,190,764"
2009,9,"1,446,836","173,145","1,619,981"
2009,10,"1,551,790","170,422","1,722,212"
2009,11,"1,575,934","191,511","1,767,445"
2009,12,"1,735,840","221,176","1,957,016"
2009,TOTAL,"20,008,492","2,369,781","22,378,273"
2010,1,"1,536,621","212,671","1,749,292"
2010,2,"1,436,320","205,392","1,641,712"
2010,3,"1,857,652","256,107","2,113,759"
2010,4,"1,782,058","251,517","2,033,575"
2010,5,"1,729,301","251,827","1,981,128"
2010,6,"1,808,994","280,265","2,089,259"
2010,7,"2,002,980","347,006","2,349,986"
2010,8,"1,986,949","352,005","2,338,954"
2010,9,"1,639,859","228,337","1,868,196"
2010,10,"1,783,521","221,749","2,005,270"
2010,11,"1,776,516","212,382","1,988,898"
2010,12,"1,788,497","250,172","2,038,669"
