Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"631,742",,"631,742"
2002,11,"624,101",,"624,101"
2002,12,"750,453",,"750,453"
2002,TOTAL,"6,819,927",0,"6,819,927"
2003,1,"771,921",,"771,921"
2003,2,"707,301",,"707,301"
2003,3,"893,436",,"893,436"
2003,4,"897,286",,"897,286"
2003,5,"926,853",,"926,853"
2003,6,"968,971",,"968,971"
2003,7,"1,150,449",,"1,150,449"
2003,8,"1,167,884",,"1,167,884"
2003,9,"929,410",,"929,410"
2003,10,"1,044,403",,"1,044,403"
2003,11,"983,843",,"983,843"
2003,12,"1,077,871",,"1,077,871"
2003,TOTAL,"11,519,628",0,"11,519,628"
2004,1,"1,078,559",,"1,078,559"
2004,2,"1,052,612",,"1,052,612"
2004,3,"1,238,531",,"1,238,531"
2004,4,"1,283,537",,"1,283,537"
2004,5,"1,282,061",,"1,282,061"
2004,6,"1,353,492","14,172","1,367,664"
2004,7,"1,471,967","30,807","1,502,774"
2004,8,"1,495,872","34,268","1,530,140"
2004,9,"1,137,904","23,577","1,161,481"
2004,10,"1,380,535","16,461","1,396,996"
2004,11,"1,359,569","22,653","1,382,222"
2004,12,"1,418,463","26,808","1,445,272"
2004,TOTAL,"15,553,104","168,745","15,721,849"
2005,1,"1,401,907","28,476","1,430,384"
2005,2,"1,320,270","24,851","1,345,121"
2005,3,"1,634,834","21,637","1,656,471"
2005,4,"1,601,743","23,125","1,624,867"
2005,5,"1,683,783","20,543","1,704,326"
2005,6,"1,771,442","19,380","1,790,822"
2005,7,"1,948,206","29,658","1,977,864"
2005,8,"1,954,303","31,207","1,985,511"
2005,9,"1,499,977","18,588","1,518,564"
2005,10,"1,580,886","17,370","1,598,255"
2005,11,"1,687,431","19,746","1,707,177"
2005,12,"1,825,691","23,318","1,849,009"
2005,TOTAL,"19,910,472","277,899","20,188,371"
2006,1,"1,765,673","24,579","1,790,252"
2006,2,"1,653,438","31,037","1,684,476"
2006,3,"2,018,912","39,528","2,058,441"
2006,4,"1,986,989","41,197","2,028,186"
2006,5,"1,860,201","36,109","1,896,311"
2006,6,"1,957,475","39,756","1,997,231"
2006,7,"2,149,171","50,730","2,199,901"
2006,8,"2,162,115","54,617","2,216,732"
2006,9,"1,609,237","34,364","1,643,600"
2006,10,"1,814,688","43,860","1,858,548"
2006,11,"1,860,659","46,373","1,907,032"
2006,12,"1,966,090","64,766","2,030,856"
2006,TOTAL,"22,804,649","506,917","23,311,566"
2007,1,"1,874,012","64,246","1,938,258"
2007,2,"1,675,735","58,328","1,734,063"
2007,3,"2,169,771","86,739","2,256,510"
