Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,January,"116,577","376,709",3.23,0,0,-,"116,577","376,709",3.23
2012,February,"113,100","379,849",3.36,0,0,-,"113,100","379,849",3.36
2012,March,"131,254","424,925",3.24,0,0,-,"131,254","424,925",3.24
2012,April,"156,616","516,003",3.29,750,"2,595",3,"157,366","518,599",3.3
2012,May,"162,498","509,213",3.13,695,"2,465",4,"163,193","511,678",3.14
2012,June,"164,504","486,204",2.96,933,"2,873",3,"165,437","489,077",2.96
2012,July,"170,430","497,020",2.92,933,"2,938",3,"171,364","499,958",2.92
2012,August,"161,784","495,521",3.06,"1,023","3,476",3,"162,807","498,997",3.06
2012,September,"143,928","473,059",3.29,781,"2,793",4,"144,709","475,852",3.29
2012,October,"150,663","510,566",3.39,874,"3,084",4,"151,537","513,650",3.39
2012,November,"143,427","454,740",3.17,825,"2,700",3,"144,252","457,440",3.17
2012,December,"147,712","476,907",3.23,"1,172","3,854",3,"148,884","480,761",3.23
2012 Total,,"1,762,493","5,600,717",3.18,"7,987","26,777",3,"1,770,480","5,627,494",3.18
% Chg over 2011,,16.81%,20.11%,2.82%,-,-,-,17.34%,20.68%,2.85%
2013,January,"139,613","441,545",3.16,"1,246","4,236",3,"140,859","445,781",3.16
2013,February,"130,001","436,922",3.36,"1,339","4,766",4,"131,340","441,687",3.36
2013,March,"159,367","512,572",3.22,"1,580","5,385",3,"160,947","517,957",3.22
2013,April,"155,711","459,878",2.95,"1,305","4,224",3,"157,015","464,102",2.96
2013,May,"158,146","476,912",3.02,"1,326","4,135",3,"159,471","481,047",3.02
2013,June,"160,910","463,406",2.88,"1,466","4,605",3,"162,375","468,011",2.88
2013,July,"165,823","484,393",2.92,"1,496","4,805",3,"167,319","489,198",2.92
2013,August,"156,310","464,596",2.97,"1,336","4,391",3,"157,645","468,986",2.97
2013,September,"140,693","433,288",3.08,914,"3,036",3,"141,608","436,324",3.08
2013,October,"149,013","442,674",2.97,904,"2,892",3,"149,917","445,566",2.97
2013,November,"140,168","415,817",2.97,"1,006","3,166",3,"141,175","418,984",2.97
2013,December,"150,324","445,042",2.96,"1,314","4,300",3,"151,637","449,342",2.96
2013 Total,,"1,806,078","5,477,045",3.03,"15,231","49,941",3,"1,821,309","5,526,986",3.03
% Chg over 2012,,2.47%,-2.21%,-4.57%,90.70%,86.51%,-2.20%,2.87%,-1.79%,-4.53%
2014,January,"134,623","396,333",2.94,"1,287","4,257",3,"135,910","400,590",2.95
2014,February,"126,375","380,025",3.01,"1,330","4,400",3,"127,705","384,425",3.01
2014,March,"157,914","470,418",2.98,"1,756","5,803",3,"159,669","476,221",2.98
2014,April,"152,024","445,190",2.93,"1,474","4,843",3,"153,498","450,033",2.93
2014,May,"153,828","452,787",2.94,"1,384","4,509",3,"155,212","457,296",2.95
2014,June,"160,128","459,896",2.87,"1,372","4,440",3,"161,500","464,336",2.88
2014,July,"166,628","481,011",2.89,"1,453","4,657",3,"168,082","485,668",2.89
2014,August,"154,308","441,788",2.86,915,"2,914",3,"155,223","444,703",2.86
2014,September,"142,305","402,535",2.83,626,"1,976",3,"142,931","404,510",2.83
2014,October,"148,856","394,153",2.65,649,"1,881",3,"149,504","396,035",2.65
2014,November,"146,614","365,111",2.49,789,"2,126",3,"147,403","367,237",2.49
2014,December,"146,042","348,612",2.39,995,"2,280",2,"147,037","350,892",2.39
2014 Total,,"1,789,645","5,037,860",2.82,"14,029","44,086",3,"1,803,674","5,081,946",2.82
% Chg over 2013,,-0.91%,-8.02%,-7.17%,-7.89%,-11.72%,-4.16%,-0.97%,-8.05%,-7.15%
2015,January,"142,639","277,573",1.95,808,"1,556",2,"143,447","279,129",1.95
2015,February,"127,748","246,518",1.93,772,"1,564",2,"128,520","248,082",1.93
2015,March,"162,120","304,549",1.88,993,"2,070",2,"163,114","306,618",1.88
