Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"471,270",,"471,270"
2002,11,"498,928",,"498,928"
2002,12,"547,592",,"547,592"
2002,TOTAL,"5,580,081",0,"5,580,081"
2003,1,"524,856",,"524,856"
2003,2,"479,216",,"479,216"
2003,3,"540,939",,"540,939"
2003,4,"534,159",,"534,159"
2003,5,"423,787",,"423,787"
2003,6,"439,111",,"439,111"
2003,7,"514,566",,"514,566"
2003,8,"509,600",,"509,600"
2003,9,"388,903",,"388,903"
2003,10,"419,217",473,"419,690"
2003,11,"463,634",,"463,634"
2003,12,"558,211","2,306","560,517"
2003,TOTAL,"5,796,200","2,779","5,798,979"
2004,1,"538,930","5,023","543,954"
2004,2,"511,689","4,776","516,465"
2004,3,"550,093","5,106","555,199"
2004,4,"542,488","4,941","547,429"
2004,5,"513,650","5,106","518,756"
2004,6,"519,057","6,588","525,645"
2004,7,"572,422","8,894","581,316"
2004,8,"537,021","8,803","545,824"
2004,9,"366,676","4,586","371,261"
2004,10,"419,362","5,106","424,467"
2004,11,"553,565","9,329","562,894"
2004,12,"564,286","22,311","586,598"
2004,TOTAL,"6,189,239","90,569","6,279,808"
2005,1,"526,512","20,387","546,899"
2005,2,"520,653","14,417","535,069"
2005,3,"549,746","16,415","566,161"
2005,4,"533,464","26,049","559,513"
2005,5,"422,435","28,042","450,477"
2005,6,"424,078","35,901","459,980"
2005,7,"489,264","47,107","536,371"
2005,8,"424,358","35,873","460,231"
2005,9,"321,919","24,355","346,274"
2005,10,"317,671","18,310","335,981"
2005,11,"368,196","30,664","398,861"
2005,12,"396,979","55,239","452,218"
2005,TOTAL,"5,295,276","352,757","5,648,033"
2006,1,"427,340","65,912","493,252"
2006,2,"377,734","57,503","435,238"
2006,3,"450,361","68,622","518,983"
2006,4,"426,530","64,768","491,297"
2006,5,"343,374","45,899","389,273"
2006,6,"398,929","55,734","454,663"
2006,7,"421,325","51,866","473,190"
2006,8,"413,019","43,033","456,051"
2006,9,"360,005","30,669","390,674"
2006,10,"376,117","30,107","406,224"
2006,11,"443,994","37,922","481,916"
2006,12,"495,921","65,711","561,632"
2006,TOTAL,"4,934,649","617,744","5,552,392"
2007,1,"499,477","61,829","561,306"
2007,2,"548,369","66,355","614,724"
2007,3,"658,909","77,070","735,979"
2007,4,"658,647","85,432","744,079"
2007,5,"586,824","95,635","682,459"
2007,6,"610,211","149,751","759,962"
2007,7,"653,597","176,898","830,494"
2007,8,"620,572","163,236","783,807"
2007,9,"531,625","117,374","648,999"
2007,10,"556,731","113,797","670,528"
2007,11,"576,482","121,809","698,291"
2007,12,"611,660","149,664","761,324"
2007,TOTAL,"7,113,102","1,378,850","8,491,953"
2008,1,"586,187","120,876","707,064"
2008,2,"563,293","103,422","666,715"
2008,3,"630,511","114,261","744,772"
2008,4,"591,904","111,578","703,481"
2008,5,"578,887","144,823","723,710"
2008,6,"598,991","174,352","773,342"
2008,7,"619,036","192,849","811,885"
2008,8,"540,318","165,132","705,449"
2008,9,"461,878","118,093","579,971"
2008,10,"468,307","118,594","586,901"
2008,11,"473,415","113,737","587,153"
2008,12,"501,262","122,275","623,536"
2008,TOTAL,"6,613,988","1,599,992","8,213,980"
2009,1,"461,704","127,280","588,983"
2009,2,"445,680","113,736","559,416"
2009,3,"517,962","134,231","652,193"
2009,4,"495,185","125,705","620,889"
2009,5,"509,844","139,302","649,145"
2009,6,"498,084","141,615","639,698"
2009,7,"524,310","156,926","681,236"
2009,8,"518,377","149,440","667,817"
2009,9,"500,198","81,618","581,816"
2009,10,"515,958","86,438","602,396"
2009,11,"509,757","88,286","598,043"
2009,12,"522,867","110,109","632,976"
2009,TOTAL,"6,019,925","1,454,685","7,474,610"
2010,1,"502,263","108,983","611,245"
2010,2,"441,755","100,805","542,559"
2010,3,"543,365","123,440","666,805"
2010,4,"546,076","125,746","671,822"
2010,5,"565,445","114,945","680,390"
2010,6,"441,771","106,914","548,685"
2010,7,"600,637","169,715","770,352"
2010,8,"594,040","154,355","748,395"
2010,9,"561,839","113,261","675,101"
2010,10,"603,819","110,098","713,917"
2010,11,"590,204","122,953","713,158"
2010,12,"583,850","150,318","734,168"
2010,TOTAL,"6,575,064","1,501,533","8,076,597"
2011,1,"578,891","144,702","723,593"
2011,2,"544,171","114,781","658,952"
2011,3,"691,166","126,969","818,135"
2011,4,"691,108","123,500","814,608"
2011,5,"691,152","122,386","813,538"
2011,6,"664,024","133,971","797,995"
2011,7,"714,706","164,792","879,498"
2011,8,"681,393","164,570","845,964"
2011,9,"588,914","108,570","697,484"
2011,10,"619,914","96,437","716,351"
2011,11,"645,133","112,775","757,908"
2011,12,"699,118","129,659","828,777"
2011,TOTAL,"7,809,691","1,543,110","9,352,801"
2012,1,"688,292","134,780","823,072"
2012,2,"677,089","123,128","800,217"
