Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"2,865",,"2,865"
2002,11,"3,049",,"3,049"
2002,12,"3,305",,"3,305"
2002,TOTAL,"33,416",0,"33,416"
2003,1,"3,223",,"3,223"
2003,2,"2,910",,"2,910"
2003,3,"3,347",,"3,347"
2003,4,"3,299",,"3,299"
2003,5,"2,590",,"2,590"
2003,6,"2,666",,"2,666"
2003,7,"3,082",,"3,082"
2003,8,"3,055",,"3,055"
2003,9,"2,369",,"2,369"
2003,10,"2,600",8,"2,608"
2003,11,"2,955",,"2,955"
2003,12,"3,526",28,"3,554"
2003,TOTAL,"35,622",36,"35,658"
2004,1,"3,468",61,"3,529"
2004,2,"3,311",58,"3,369"
2004,3,"3,594",62,"3,656"
2004,4,"3,565",60,"3,625"
2004,5,"3,283",62,"3,345"
2004,6,"3,312",80,"3,392"
2004,7,"3,720",110,"3,830"
2004,8,"3,450",102,"3,552"
2004,9,"2,483",54,"2,537"
2004,10,"2,840",62,"2,902"
2004,11,"3,299",85,"3,384"
2004,12,"3,715",189,"3,904"
2004,TOTAL,"40,040",985,"41,025"
2005,1,"3,513",216,"3,729"
2005,2,"3,481",209,"3,690"
2005,3,"3,618",248,"3,866"
2005,4,"3,538",286,"3,824"
2005,5,"2,864",308,"3,172"
2005,6,"2,913",334,"3,247"
2005,7,"3,326",448,"3,774"
2005,8,"2,915",345,"3,260"
2005,9,"2,186",234,"2,420"
2005,10,"2,210",191,"2,401"
2005,11,"2,534",333,"2,867"
2005,12,"2,795",553,"3,348"
2005,TOTAL,"35,893","3,705","39,598"
2006,1,"2,867",595,"3,462"
2006,2,"2,674",587,"3,261"
2006,3,"3,268",665,"3,933"
2006,4,"3,131",645,"3,776"
2006,5,"2,708",493,"3,201"
2006,6,"2,810",604,"3,414"
2006,7,"3,164",665,"3,829"
2006,8,"3,130",562,"3,692"
2006,9,"2,796",428,"3,224"
2006,10,"2,867",430,"3,297"
2006,11,"2,997",468,"3,465"
2006,12,"3,374",688,"4,062"
2006,TOTAL,"35,786","6,830","42,616"
2007,1,"3,410",667,"4,077"
2007,2,"3,654",717,"4,371"
2007,3,"4,285",840,"5,125"
2007,4,"4,270",860,"5,130"
2007,5,"3,728",864,"4,592"
2007,6,"3,973","1,316","5,289"
2007,7,"4,283","1,412","5,695"
2007,8,"4,023","1,293","5,316"
2007,9,"3,435",860,"4,295"
2007,10,"3,575",805,"4,380"
2007,11,"3,783",900,"4,683"
2007,12,"4,087","1,185","5,272"
2007,TOTAL,"46,506","11,719","58,225"
2008,1,"4,065","1,035","5,100"
2008,2,"4,016",883,"4,899"
2008,3,"4,569",966,"5,535"
2008,4,"4,280",941,"5,221"
2008,5,"4,288","1,167","5,455"
2008,6,"4,431","1,302","5,733"
2008,7,"4,524","1,362","5,886"
2008,8,"3,952","1,206","5,158"
2008,9,"3,269",863,"4,132"
2008,10,"3,295",859,"4,154"
2008,11,"3,363",797,"4,160"
2008,12,"3,613",850,"4,463"
2008,TOTAL,"47,665","12,231","59,896"
2009,1,"3,395",865,"4,260"
2009,2,"3,216",790,"4,006"
2009,3,"3,832",942,"4,774"
2009,4,"3,547",858,"4,405"
2009,5,"3,571","1,048","4,619"
2009,6,"3,484","1,062","4,546"
2009,7,"3,676","1,179","4,855"
2009,8,"3,637","1,128","4,765"
2009,9,"3,442",697,"4,139"
2009,10,"3,581",744,"4,325"
2009,11,"3,543",753,"4,296"
2009,12,"3,659",865,"4,524"
2009,TOTAL,"42,583","10,931","53,514"
2010,1,"3,498",843,"4,341"
2010,2,"3,071",767,"3,838"
2010,3,"3,794",940,"4,734"
2010,4,"3,808",916,"4,724"
2010,5,"3,922",922,"4,844"
2010,6,"3,115",791,"3,906"
2010,7,"4,146","1,206","5,352"
2010,8,"4,089","1,090","5,179"
2010,9,"3,821",864,"4,685"
2010,10,"4,073",864,"4,937"
2010,11,"3,963",955,"4,918"
2010,12,"3,924","1,126","5,050"
2010,TOTAL,"45,224","11,284","56,508"
2011,1,"3,840","1,040","4,880"
2011,2,"3,585",826,"4,411"
2011,3,"4,535",912,"5,447"
2011,4,"4,533",900,"5,433"
2011,5,"4,882",842,"5,724"
2011,6,"4,712",878,"5,590"
2011,7,"5,027","1,084","6,111"
2011,8,"4,842","1,037","5,879"
2011,9,"4,469",692,"5,161"
2011,10,"4,717",646,"5,363"
2011,11,"4,757",743,"5,500"
2011,12,"5,093",843,"5,936"
2011,TOTAL,"54,992","10,443","65,435"
2012,1,"4,913",851,"5,764"
2012,2,"4,776",791,"5,567"
2012,3,"5,806",822,"6,628"
2012,4,"5,649",811,"6,460"
2012,5,"5,637",838,"6,475"
2012,6,"5,801",872,"6,673"
2012,7,"6,179",980,"7,159"
2012,8,"6,218",951,"7,169"
2012,9,"5,631",737,"6,368"
2012,10,"5,642",645,"6,287"
2012,11,"5,850",770,"6,620"
2012,12,"6,074",854,"6,928"
2012,TOTAL,"68,176","9,922","78,098"
2013,1,"5,957",822,"6,779"
2013,2,"5,679",740,"6,419"
2013,3,"6,676",830,"7,506"
2013,4,"6,547",793,"7,340"
2013,5,"6,846",859,"7,705"
2013,6,"6,732",978,"7,710"
2013,7,"7,163","1,087","8,250"
2013,8,"7,120","1,059","8,179"
2013,9,"6,547",637,"7,184"
2013,10,"6,716",629,"7,345"
2013,11,"6,797",817,"7,614"
2013,12,"6,992",842,"7,834"
2013,TOTAL,"79,772","10,093","89,865"
2014,1,"7,038",890,"7,928"
2014,2,"6,446",808,"7,254"
2014,3,"7,373",893,"8,266"
2014,4,"7,263",861,"8,124"
2014,5,"7,612","1,044","8,656"
2014,6,"7,466","1,008","8,474"
2014,7,"7,747","1,042","8,789"
2014,8,"8,195","1,049","9,244"
2014,9,"7,803",614,"8,417"
2014,10,"8,089",602,"8,691"
2014,11,"8,170",835,"9,005"
2014,12,"8,410",930,"9,340"
2014,TOTAL,"91,612","10,576","102,188"
2015,1,"8,771",995,"9,766"
2015,2,"8,031",852,"8,883"
2015,3,"9,303",940,"10,243"
2015,4,"9,459",952,"10,411"
2015,5,"9,864","1,096","10,960"
2015,6,"9,388","1,178","10,566"
