Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"298,142",,"298,142"
2002,11,"329,981",,"329,981"
2002,12,"364,041",,"364,041"
2002,TOTAL,"3,671,859",0,"3,671,859"
2003,1,"337,192",,"337,192"
2003,2,"310,319",,"310,319"
2003,3,"360,083",,"360,083"
2003,4,"353,921",,"353,921"
2003,5,"297,970",,"297,970"
2003,6,"309,012",,"309,012"
2003,7,"379,042",,"379,042"
2003,8,"377,566",,"377,566"
2003,9,"282,064",,"282,064"
2003,10,"341,408",,"341,408"
2003,11,"354,747",,"354,747"
2003,12,"399,773","2,832","402,605"
2003,TOTAL,"4,103,097","2,832","4,105,929"
2004,1,"381,233","6,447","387,680"
2004,2,"357,334","6,007","363,341"
2004,3,"404,029","5,875","409,904"
2004,4,"386,773","5,947","392,720"
2004,5,"361,688","6,561","368,249"
2004,6,"371,801","8,416","380,217"
2004,7,"445,580","11,691","457,271"
2004,8,"416,423","10,664","427,087"
2004,9,"257,047","4,887","261,934"
2004,10,"332,066","7,142","339,208"
2004,11,"375,433","10,348","385,781"
2004,12,"399,158","20,060","419,218"
2004,TOTAL,"4,488,565","104,045","4,592,610"
2005,1,"378,081","25,292","403,373"
2005,2,"360,730","23,264","383,994"
2005,3,"456,232","27,417","483,649"
2005,4,"404,165","29,944","434,109"
2005,5,"342,736","39,288","382,024"
2005,6,"349,505","42,358","391,863"
2005,7,"404,716","52,812","457,528"
2005,8,"352,407","40,915","393,322"
2005,9,"240,118","19,793","259,911"
2005,10,"249,199","21,597","270,796"
2005,11,"260,634","37,272","297,906"
2005,12,"281,691","67,247","348,938"
2005,TOTAL,"4,080,214","427,199","4,507,413"
2006,1,"328,131","60,980","389,111"
2006,2,"300,525","54,793","355,318"
2006,3,"383,690","74,059","457,749"
2006,4,"353,036","74,082","427,118"
2006,5,"298,519","55,389","353,908"
2006,6,"344,519","69,281","413,800"
2006,7,"359,515","78,638","438,153"
2006,8,"337,184","63,208","400,392"
2006,9,"265,409","41,693","307,102"
2006,10,"293,465","44,028","337,493"
2006,11,"319,951","51,609","371,560"
2006,12,"209,128","65,235","274,363"
2006,TOTAL,"3,793,072","732,995","4,526,067"
2007,1,"380,378","65,710","446,088"
2007,2,"437,955","65,566","503,521"
2007,3,"533,191","83,109","616,300"
2007,4,"511,939","95,540","607,479"
2007,5,"457,036","100,750","557,786"
2007,6,"499,772","136,250","636,022"
2007,7,"556,790","167,486","724,276"
2007,8,"507,029","153,141","660,170"
2007,9,"389,232","90,087","479,319"
2007,10,"438,681","91,144","529,825"
2007,11,"444,498","100,575","545,073"
2007,12,"466,349","128,885","595,234"
2007,TOTAL,"5,622,850","1,278,243","6,901,093"
2008,1,"454,310","110,048","564,358"
2008,2,"453,184","91,620","544,804"
2008,3,"529,552","102,008","631,560"
2008,4,"482,345","97,568","579,913"
2008,5,"503,269","123,286","626,555"
2008,6,"502,788","137,281","640,069"
2008,7,"546,480","161,914","708,394"
2008,8,"464,933","142,823","607,756"
2008,9,"356,113","83,138","439,251"
2008,10,"397,269","85,551","482,820"
2008,11,"395,115","85,621","480,736"
2008,12,"415,403","98,256","513,659"
2008,TOTAL,"5,500,761","1,319,114","6,819,875"
2009,1,"382,422","91,288","473,710"
2009,2,"363,498","73,630","437,128"
2009,3,"436,142","87,924","524,066"
2009,4,"425,922","94,049","519,971"
2009,5,"409,829","96,188","506,017"
2009,6,"426,890","113,526","540,416"
2009,7,"468,446","137,515","605,961"
2009,8,"444,325","133,918","578,243"
2009,9,"375,165","65,881","441,046"
2009,10,"403,339","68,967","472,306"
2009,11,"403,710","73,348","477,058"
2009,12,"414,112","98,554","512,666"
2009,TOTAL,"4,953,800","1,134,788","6,088,588"
2010,1,"403,283","92,021","495,304"
2010,2,"351,647","72,916","424,563"
2010,3,"470,245","94,685","564,930"
2010,4,"476,774","98,775","575,549"
2010,5,"476,546","91,090","567,636"
2010,6,"353,742","79,321","433,063"
2010,7,"530,790","138,597","669,387"
2010,8,"522,554","133,576","656,130"
2010,9,"441,425","91,145","532,570"
2010,10,"517,511","96,108","613,619"
