Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2002,10,"339,613",,"339,613"
2002,11,"383,078",,"383,078"
2002,12,"433,486",,"433,486"
2002,TOTAL,"4,096,444",0,"4,096,444"
2003,1,"400,888",,"400,888"
2003,2,"362,505",,"362,505"
2003,3,"406,616",,"406,616"
2003,4,"392,490",,"392,490"
2003,5,"326,196",,"326,196"
2003,6,"344,492",,"344,492"
2003,7,"422,904",,"422,904"
2003,8,"417,130",,"417,130"
2003,9,"317,099",,"317,099"
2003,10,"351,866",157,"352,023"
2003,11,"383,702",,"383,702"
2003,12,"450,489","1,730","452,219"
2003,TOTAL,"4,576,378","1,887","4,578,265"
2004,1,"424,289","3,539","427,828"
2004,2,"388,856","3,298","392,154"
2004,3,"433,005","3,225","436,231"
2004,4,"407,427","3,265","410,692"
2004,5,"392,293","3,602","395,895"
2004,6,"405,905","4,620","410,525"
2004,7,"484,437","6,418","490,855"
2004,8,"452,893","6,711","459,604"
2004,9,"287,379","3,291","290,669"
2004,10,"340,171","3,921","344,091"
2004,11,"386,413","6,675","393,088"
2004,12,"420,111","15,598","435,710"
2004,TOTAL,"4,823,178","64,164","4,887,342"
2005,1,"401,070","15,759","416,829"
2005,2,"378,495","10,422","388,916"
2005,3,"477,493","12,659","490,152"
2005,4,"419,068","18,201","437,269"
2005,5,"356,337","22,995","379,333"
2005,6,"362,314","27,432","389,745"
2005,7,"416,775","33,663","450,438"
2005,8,"360,410","26,321","386,731"
2005,9,"247,800","14,302","262,102"
2005,10,"255,911","14,662","270,573"
2005,11,"274,943","24,423","299,366"
2005,12,"303,786","41,699","345,485"
2005,TOTAL,"4,254,402","262,537","4,516,939"
2006,1,"332,395","40,127","372,522"
2006,2,"324,267","37,252","361,519"
2006,3,"411,061","50,325","461,386"
2006,4,"371,527","50,635","422,162"
2006,5,"304,886","36,767","341,653"
2006,6,"331,516","42,532","374,048"
2006,7,"378,572","45,617","424,189"
2006,8,"359,134","35,502","394,636"
2006,9,"275,797","23,684","299,481"
2006,10,"310,948","24,789","335,737"
2006,11,"344,355","29,378","373,733"
2006,12,"354,228","45,204","399,432"
2006,TOTAL,"4,098,686","461,811","4,560,497"
2007,1,"377,299","42,997","420,296"
2007,2,"441,878","42,889","484,767"
2007,3,"546,022","52,674","598,696"
2007,4,"517,591","63,398","580,989"
2007,5,"480,645","73,526","554,171"
2007,6,"525,995","103,979","629,974"
2007,7,"580,246","140,351","720,597"
2007,8,"539,549","132,220","671,769"
2007,9,"411,171","82,736","493,908"
2007,10,"465,320","86,877","552,197"
2007,11,"463,066","94,650","557,716"
2007,12,"477,565","112,234","589,799"
2007,TOTAL,"5,826,348","1,028,531","6,854,879"
2008,1,"455,591","92,914","548,505"
2008,2,"447,186","78,750","525,936"
2008,3,"519,757","84,174","603,931"
2008,4,"471,328","80,611","551,939"
2008,5,"484,473","102,482","586,955"
2008,6,"486,263","121,281","607,544"
2008,7,"530,564","149,849","680,413"
2008,8,"456,342","131,796","588,138"
2008,9,"362,018","80,398","442,416"
2008,10,"404,546","80,799","485,345"
2008,11,"392,129","82,416","474,545"
2008,12,"407,448","95,985","503,433"
2008,TOTAL,"5,417,646","1,181,453","6,599,099"
2009,1,"367,105","93,904","461,010"
2009,2,"352,044","73,815","425,859"
2009,3,"416,353","86,017","502,370"
2009,4,"407,632","88,250","495,882"
2009,5,"404,959","89,854","494,813"
2009,6,"423,259","106,132","529,391"
2009,7,"466,713","127,841","594,554"
2009,8,"439,883","123,128","563,011"
2009,9,"380,243","57,406","437,649"
2009,10,"408,272","58,180","466,452"
2009,11,"406,081","61,369","467,450"
2009,12,"415,053","86,368","501,422"
2009,TOTAL,"4,887,599","1,052,264","5,939,863"
2010,1,"405,233","86,934","492,168"
2010,2,"352,488","69,784","422,272"
2010,3,"461,645","89,124","550,769"
2010,4,"451,477","91,097","542,574"
2010,5,"467,549","82,670","550,219"
2010,6,"345,356","77,738","423,094"
2010,7,"522,807","136,623","659,431"
2010,8,"511,843","129,144","640,988"
2010,9,"436,950","87,516","524,466"
2010,10,"519,038","87,580","606,618"
2010,11,"507,818","94,658","602,476"
2010,12,"490,895","120,920","611,815"
2010,TOTAL,"5,473,101","1,153,789","6,626,890"
2011,1,"487,799","114,794","602,593"
2011,2,"453,270","89,809","543,079"
2011,3,"597,825","104,337","702,162"
2011,4,"585,492","104,909","690,401"
2011,5,"594,413","105,261","699,674"
2011,6,"578,835","115,064","693,899"
2011,7,"647,925","144,037","791,962"
2011,8,"602,557","139,149","741,705"
2011,9,"489,436","86,020","575,456"
2011,10,"550,250","79,984","630,234"
2011,11,"555,793","93,970","649,763"
2011,12,"578,351","107,471","685,822"
2011,TOTAL,"6,721,945","1,284,806","8,006,750"
2012,1,"573,260","109,819","683,078"
2012,2,"585,042","96,418","681,460"
2012,3,"727,330","102,419","829,749"
2012,4,"690,924","103,075","793,999"
2012,5,"677,749","95,695","773,445"
2012,6,"698,773","112,498","811,272"
2012,7,"768,410","138,160","906,570"
2012,8,"749,381","126,617","875,998"
2012,9,"656,040","90,145","746,185"
2012,10,"701,844","89,251","791,094"
2012,11,"727,055","105,469","832,524"
2012,12,"775,955","119,740","895,695"
2012,TOTAL,"8,331,763","1,289,305","9,621,068"
2013,1,"753,605","114,707","868,313"
2013,2,"704,324","100,628","804,952"
2013,3,"875,867","112,264","988,130"
2013,4,"812,496","105,822","918,318"
2013,5,"891,481","110,710","1,002,191"
2013,6,"894,117","130,009","1,024,127"
2013,7,"1,000,279","150,818","1,151,097"
2013,8,"985,791","142,098","1,127,890"
2013,9,"878,429","82,475","960,904"
2013,10,"931,674","81,810","1,013,484"
2013,11,"914,374","109,803","1,024,177"
2013,12,"993,428","122,582","1,116,010"
2013,TOTAL,"10,635,865","1,363,728","11,999,593"
2014,1,"969,043","127,805","1,096,848"
2014,2,"902,170","107,998","1,010,167"
2014,3,"1,056,158","125,726","1,181,884"
2014,4,"988,495","124,362","1,112,857"
2014,5,"1,044,490","145,136","1,189,626"
2014,6,"1,063,626","140,200","1,203,826"
2014,7,"1,123,125","151,557","1,274,682"
2014,8,"1,137,824","154,049","1,291,873"
2014,9,"999,503","90,692","1,090,195"
2014,10,"1,100,622","92,194","1,192,816"
2014,11,"1,085,537","112,524","1,198,060"
2014,12,"1,177,826","138,408","1,316,234"
2014,TOTAL,"12,648,417","1,510,651","14,159,068"
2015,1,"1,172,326","146,389","1,318,715"
2015,2,"1,110,942","114,282","1,225,225"
2015,3,"1,335,431","137,788","1,473,219"
2015,4,"1,292,541","136,992","1,429,533"
2015,5,"1,385,977","159,614","1,545,591"
2015,6,"1,336,050","169,684","1,505,735"
2015,7,"1,486,980","195,123","1,682,103"
2015,8,"1,450,486","186,814","1,637,300"
2015,9,"1,329,880","119,610","1,449,489"
2015,10,"1,438,591","100,063","1,538,654"
2015,11,"1,403,884","128,198","1,532,082"
2015,12,"1,501,198","156,756","1,657,954"
2015,TOTAL,"16,244,287","1,751,314","17,995,600"
2016,1,"1,500,826","159,073","1,659,899"
2016,2,"1,440,174","126,641","1,566,815"
2016,3,"1,687,536","159,701","1,847,236"
2016,4,"1,582,537","159,450","1,741,988"
2016,5,"1,738,850","187,387","1,926,236"
2016,6,"1,691,070","187,131","1,878,201"
2016,7,"1,790,257","201,911","1,992,169"
2016,8,"1,742,053","195,014","1,937,067"
2016,9,"1,530,895","139,636","1,670,531"
2016,10,"1,603,079","124,842","1,727,921"
2016,11,"1,631,395","137,523","1,768,918"
2016,12,"1,710,226","155,233","1,865,459"
2016,TOTAL,"19,648,898","1,933,543","21,582,441"
2017,1,"1,674,390","148,913","1,823,303"
2017,2,"1,613,405","119,528","1,732,933"
2017,3,"1,921,711","135,266","2,056,977"
2017,4,"1,817,093","147,567","1,964,660"
2017,5,"1,885,860","169,664","2,055,524"
2017,6,"2,016,403","181,562","2,197,966"
2017,7,"2,143,969","202,540","2,346,510"
2017,8,"2,147,605","189,293","2,336,898"
2017,9,"1,658,407","110,087","1,768,495"
2017,10,"1,974,192","127,878","2,102,069"
2017,11,"1,919,406","156,529","2,075,934"
2017,12,"1,955,860","186,281","2,142,141"
2017,TOTAL,"22,728,300","1,875,109","24,603,409"
2018,1,"1,915,529","196,040","2,111,570"
2018,2,"1,949,596","156,391","2,105,987"
2018,3,"2,399,145","196,707","2,595,852"
2018,4,"2,244,940","212,427","2,457,367"
2018,5,"2,440,416","233,443","2,673,859"
2018,6,"2,576,381","254,447","2,830,828"
2018,7,"2,702,968","273,090","2,976,058"
2018,8,"2,695,383","261,296","2,956,678"
2018,9,"2,110,673","165,733","2,276,406"
2018,10,"2,229,796","158,684","2,388,480"
2018,11,"2,292,014","226,839","2,518,854"
2018,12,"2,397,636","302,225","2,699,861"
2018,TOTAL,"27,954,476","2,637,323","30,591,799"
2019,1,"2,233,287","313,641","2,546,927"
2019,2,"2,169,891","244,450","2,414,341"
2019,3,"2,849,721","322,121","3,171,842"
2019,4,"2,574,735","308,811","2,883,546"
2019,5,"2,809,837","310,599","3,120,436"
2019,6,"2,815,968","337,855","3,153,823"
2019,7,"2,948,109","369,922","3,318,031"
2019,8,"2,838,359","348,208","3,186,567"
2019,9,"2,323,722","229,715","2,553,437"
2019,10,"2,620,161","232,512","2,852,673"
2019,11,"2,614,134","292,871","2,907,005"
2019,12,"2,792,375","344,105","3,136,480"
2019,TOTAL,"31,590,298","3,654,811","35,245,109"
2020,1,"2,591,245","357,445","2,948,690"
2020,2,"2,660,061","291,127","2,951,188"
2020,3,"1,852,508","192,113","2,044,620"
2020,4,"144,091","3,422","147,513"
2020,5,"138,640","6,815","145,455"
2020,6,"584,987","16,713","601,700"
2020,7,"1,905,747","77,165","1,982,912"
2020,8,"1,576,558","67,713","1,644,271"
2020,9,"1,165,951","86,217","1,252,168"
2020,10,"1,469,183","158,756","1,627,939"
2020,11,"1,790,436","177,526","1,967,963"
2020,12,"1,758,332","242,359","2,000,691"
2020,TOTAL,"17,637,740","1,677,371","19,315,111"
2021,1,"1,482,703","203,387","1,686,091"
2021,2,"1,439,364","110,852","1,550,215"
2021,3,"2,356,784","154,778","2,511,562"
2021,4,"2,416,129","186,987","2,603,116"
2021,5,"2,711,343","305,409","3,016,751"
2021,6,"2,673,873","342,494","3,016,367"
2021,7,"3,064,936","428,205","3,493,141"
2021,8,"2,178,009","328,336","2,506,346"
2021,9,"2,279,509","301,147","2,580,657"
2021,10,"2,532,183","328,521","2,860,704"
2021,11,"2,727,200","375,890","3,103,090"
2021,12,"2,736,520","461,506","3,198,026"
2021,TOTAL,"28,598,555","3,527,512","32,126,067"
2022,1,"2,348,760","372,135","2,720,895"
2022,2,"2,439,584","302,046","2,741,631"
2022,3,"3,177,659","410,428","3,588,086"
2022,4,"2,761,342","417,467","3,178,809"
2022,5,"3,124,781","461,733","3,586,513"
2022,6,"2,948,181","479,793","3,427,973"
2022,7,"3,049,920","517,192","3,567,112"
2022,8,"2,936,485","481,814","3,418,300"
2022,9,"2,722,986","396,859","3,119,845"
2022,10,"3,087,540","412,054","3,499,594"
2022,11,"3,067,948","393,814","3,461,762"
2022,12,"3,003,659","464,101","3,467,760"
2022,TOTAL,"34,668,845","5,109,436","39,778,280"
2023,1,"2,973,624","499,419","3,473,043"
2023,2,"2,882,095","402,147","3,284,242"
2023,3,"3,451,108","467,163","3,918,271"
2023,4,"3,226,702","443,449","3,670,151"
2023,TOTAL,"12,533,528","1,812,178","14,345,706"
