Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2012,January,"119,016","363,673",3,"141,321","435,164",3,"260,337","798,837",3.07
2012,February,"117,140","367,144",3,"131,673","415,388",3,"248,813","782,532",3.15
2012,March,"134,120","442,437",3,"147,261","490,783",3,"281,381","933,220",3.32
2012,April,"127,255","412,632",3,"142,235","476,928",3,"269,490","889,559",3.3
2012,May,"134,184","420,489",3,"152,800","493,886",3,"286,984","914,375",3.19
2012,June,"141,458","403,958",3,"150,919","451,412",3,"292,377","855,369",2.93
2012,July,"146,812","414,907",3,"158,460","448,575",3,"305,272","863,482",2.83
2012,August,"144,305","435,243",3,"155,590","473,545",3,"299,895","908,788",3.03
2012,September,"124,597","404,888",3,"142,095","463,566",3,"266,692","868,453",3.26
2012,October,"125,075","400,945",3,"138,719","452,018",3,"263,794","852,963",3.23
2012,November,"116,695","359,830",3,"125,625","397,695",3,"242,320","757,525",3.13
2012,December,"124,913","378,704",3,"133,021","412,737",3,"257,934","791,441",3.07
2012 Total,,"1,555,569","4,804,849",3,"1,719,719","5,411,697",3,"3,275,288","10,216,546",3.12
% Chg over 2011,,68.94%,69.09%,0.09%,77.43%,83.69%,3.53%,73.30%,76.53%,1.86%
2013,January,"117,016","360,359",3,"136,986","429,000",3,"254,002","789,358",3.11
2013,February,"107,126","347,199",3,"120,158","390,576",3,"227,284","737,775",3.25
2013,March,"126,417","396,994",3,"140,603","457,595",3,"267,020","854,589",3.2
2013,April,"122,510","362,576",3,"140,850","424,577",3,"263,360","787,153",2.99
2013,May,"128,704","360,929",3,"149,256","427,720",3,"277,961","788,649",2.84
2013,June,"135,230","376,046",3,"150,234","428,056",3,"285,464","804,102",2.82
2013,July,"138,902","402,318",3,"156,249","457,572",3,"295,151","859,890",2.91
2013,August,"138,730","412,277",3,"154,847","464,674",3,"293,577","876,951",2.99
2013,September,"121,287","367,288",3,"141,791","438,267",3,"263,078","805,555",3.06
2013,October,"128,090","377,410",3,"141,506","428,318",3,"269,597","805,727",2.99
2013,November,"119,803","347,646",3,"129,433","388,112",3,"249,236","735,758",2.95
2013,December,"125,094","370,919",3,"133,418","403,140",3,"258,512","774,059",2.99
2013 Total,,"1,508,908","4,481,961",3,"1,695,331","5,137,606",3,"3,204,239","9,619,567",3
% Chg over 2012,,-3.00%,-6.72%,-3.84%,-1.42%,-5.06%,-3.70%,-2.17%,-5.84%,-3.76%
2014,January,"114,167","341,514",3,"133,060","408,896",3,"247,227","750,410",3.04
2014,February,"105,545","316,984",3,"121,221","367,639",3,"226,766","684,624",3.02
2014,March,"125,588","373,713",3,"146,502","445,186",3,"272,090","818,900",3.01
2014,April,"116,680","344,918",3,"140,050","420,065",3,"256,730","764,983",2.98
2014,May,"126,173","373,064",3,"152,788","456,424",3,"278,961","829,488",2.97
2014,June,"132,477","389,376",3,"153,741","457,385",3,"286,218","846,760",2.96
2014,July,"135,927","394,511",3,"161,018","479,535",3,"296,945","874,046",2.94
2014,August,"131,754","381,360",3,"157,844","464,588",3,"289,598","845,948",2.92
2014,September,"117,548","327,262",3,"141,940","403,645",3,"259,488","730,907",2.82
2014,October,"125,386","327,114",3,"143,587","389,250",3,"268,973","716,363",2.66
2014,November,"112,415","276,411",2,"130,583","328,460",3,"242,998","604,872",2.49
2014,December,"119,531","258,116",2,"137,852","316,705",2,"257,383","574,821",2.23
2014 Total,,"1,463,191","4,104,343",3,"1,720,188","4,937,778",3,"3,183,378","9,042,121",2.84
% Chg over 2013,,-3.03%,-8.43%,-5.56%,1.47%,-3.89%,-5.28%,-0.65%,-6.00%,-5.39%
2015,January,"108,317","189,983",2,"137,473","258,847",2,"245,789","448,830",1.83
2015,February,"100,584","172,660",2,"121,858","209,020",2,"222,442","381,679",1.72
2015,March,"122,086","221,282",2,"146,103","273,017",2,"268,189","494,299",1.84
2015,April,"116,938","202,381",2,"144,231","256,705",2,"261,169","459,086",1.76
2015,May,"127,377","247,357",2,"153,665","293,764",2,"281,042","541,121",1.93
2015,June,"133,768","251,303",2,"157,028","303,953",2,"290,796","555,257",1.91
2015,July,"137,651","237,596",2,"165,919","301,963",2,"303,570","539,559",1.78
2015,August,"133,232","206,485",2,"163,586","265,177",2,"296,818","471,662",1.59
2015,September,"118,075","174,088",1,"144,095","216,730",2,"262,169","390,817",1.49
2015,October,"127,118","188,658",1,"144,626","217,860",2,"271,744","406,518",1.5
2015,November,"116,728","161,410",1,"131,117","186,832",1,"247,845","348,242",1.41
2015,December,"123,443","159,379",1,"140,504","194,426",1,"263,947","353,805",1.34
2015 Total,,"1,465,316","2,412,583",2,"1,750,205","2,978,293",2,"3,215,521","5,390,875",1.68
% Chg over 2014,,0.15%,-41.22%,-41.30%,1.75%,-39.68%,-40.72%,1.01%,-40.38%,-40.98%
2016,January,"106,816","118,320",1,"133,414","159,406",1,"240,230","277,726",1.16
2016,February,"105,058","110,007",1,"123,584","132,213",1,"228,643","242,220",1.06
2016,March,"123,516","137,363",1,"141,822","160,602",1,"265,338","297,965",1.12
2016,April,"118,947","139,222",1,"138,946","169,453",1,"257,893","308,675",1.2
2016,May,"129,102","168,347",1,"152,293","202,484",1,"281,395","370,831",1.32
2016,June,"134,666","192,041",1,"159,358","231,311",1,"294,023","423,353",1.44
2016,July,"140,582","197,387",1,"169,367","248,321",1,"309,948","445,707",1.44
2016,August,"142,245","189,371",1,"162,311","223,990",1,"304,556","413,361",1.36
2016,September,"129,426","178,628",1,"145,248","204,627",1,"274,674","383,256",1.4
2016,October,"133,758","195,621",1,"145,150","214,063",1,"278,908","409,684",1.47
2016,November,"121,766","173,839",1,"130,573","195,977",2,"252,339","369,816",1.47
2016,December,"129,679","195,282",2,"143,602","219,767",2,"273,281","415,049",1.52
2016 Total,,"1,515,562","1,995,427",1,"1,745,668","2,362,215",1,"3,261,229","4,357,641",1.34
% Chg over 2015,,3.43%,-17.29%,-20.03%,-0.26%,-20.69%,-20.48%,1.42%,-19.17%,-20.30%
2017,January,"115,243","182,773",2,"139,806","229,728",2,"255,048","412,501",1.62
2017,February,"106,045","170,922",2,"124,508","205,381",2,"230,552","376,303",1.63
2017,March,"131,555","207,034",2,"143,156","234,661",2,"274,711","441,695",1.61
2017,April,"125,813","197,799",2,"143,434","230,390",2,"269,247","428,189",1.59
2017,May,"136,992","205,922",2,"154,610","242,394",2,"291,602","448,316",1.54
2017,June,"147,788","213,167",1,"158,577","239,132",2,"306,364","452,299",1.48
2017,July,"153,766","222,525",1,"167,657","248,311",1,"321,423","470,836",1.46
